row_type,group_id,region,normal_angle_to_reference_deg,plane_d_mm,plane_d_delta_to_reference_mm,pnp_rmse_px,consistent,group_left,group_right,region_left,region_right,pair_normal_angle_deg,pair_plane_d_delta_mm,pair_consistent,group_ids,group_count,max_normal_angle_to_reference_deg,max_abs_plane_d_delta_to_reference_mm,pnp_rmse_median_px,pnp_rmse_max_px,normal_threshold_deg,plane_d_threshold_mm,pnp_rmse_threshold_px
pair,,,,,,,,004,009,Middle,Top,0.01788461170005941,-0.008843120119308878,True,,,,,,,,,
pair,,,,,,,,004,010,Middle,Top,0.01424489545199137,-0.008445974163237224,True,,,,,,,,,
pair,,,,,,,,004,011,Middle,Bottom,0.0036316365756102237,0.004971426863562556,True,,,,,,,,,
pair,,,,,,,,004,012,Middle,Bottom,0.0061212289243126996,-0.007152980279329313,True,,,,,,,,,
pair,,,,,,,,004,013,Middle,Bottom,0.005664317810260856,-0.0012245662684335912,True,,,,,,,,,
pair,,,,,,,,004,014,Middle,Bottom,0.0036162319292502893,-0.004650771563888156,True,,,,,,,,,
pair,,,,,,,,004,015,Middle,Bottom,0.0027202329733916125,0.00047027063681071013,True,,,,,,,,,
pair,,,,,,,,005,006,Middle,Top,0.015186943158939937,-0.005583994861353858,True,,,,,,,,,
pair,,,,,,,,005,007,Middle,Top,0.011606717003973971,-0.000498907610904098,True,,,,,,,,,
pair,,,,,,,,005,008,Middle,Top,0.013921042482581285,-0.003287665757625291,True,,,,,,,,,
pair,,,,,,,,005,009,Middle,Top,0.016035195332800324,-0.007562632351891807,True,,,,,,,,,
pair,,,,,,,,005,010,Middle,Top,0.012372756386752585,-0.007165486395820153,True,,,,,,,,,
pair,,,,,,,,005,011,Middle,Bottom,0.0010134098976342192,0.006251914630979627,True,,,,,,,,,
pair,,,,,,,,005,012,Middle,Bottom,0.0031306445369745388,-0.005872492511912242,True,,,,,,,,,
pair,,,,,,,,005,013,Middle,Bottom,0.0023368598842894166,5.592149898347998e-05,True,,,,,,,,,
pair,,,,,,,,005,014,Middle,Bottom,0.0039970375940992136,-0.0033702837964710852,True,,,,,,,,,
pair,,,,,,,,005,015,Middle,Bottom,0.004194108530971836,0.0017507584042277813,True,,,,,,,,,
pair,,,,,,,,006,007,Top,Top,0.006149658443281101,0.00508508725044976,True,,,,,,,,,
pair,,,,,,,,006,008,Top,Top,0.001960607853615741,0.002296329103728567,True,,,,,,,,,
pair,,,,,,,,006,009,Top,Top,0.004937824371414614,-0.001978637490537949,True,,,,,,,,,
pair,,,,,,,,006,010,Top,Top,0.0048255140730265106,-0.001581491534466295,True,,,,,,,,,
pair,,,,,,,,006,011,Top,Bottom,0.01442442996489445,0.011835909492333485,True,,,,,,,,,
pair,,,,,,,,006,012,Top,Bottom,0.018069231637806486,-0.0002884976505583836,True,,,,,,,,,
pair,,,,,,,,006,013,Top,Bottom,0.013136657840013843,0.005639916360337338,True,,,,,,,,,
pair,,,,,,,,006,014,Top,Bottom,0.018584804556459535,0.002213711064882773,True,,,,,,,,,
pair,,,,,,,,006,015,Top,Bottom,0.018163829814280035,0.007334753265581639,True,,,,,,,,,
pair,,,,,,,,007,008,Top,Top,0.004192068597309779,-0.002788758146721193,True,,,,,,,,,
pair,,,,,,,,007,009,Top,Top,0.004518706375834356,-0.007063724740987709,True,,,,,,,,,
pair,,,,,,,,007,010,Top,Top,0.0013413596429096575,-0.006666578784916055,True,,,,,,,,,
pair,,,,,,,,007,011,Top,Bottom,0.011160877202512298,0.006750822241883725,True,,,,,,,,,
pair,,,,,,,,007,012,Top,Bottom,0.013934948302697247,-0.005373584901008144,True,,,,,,,,,
pair,,,,,,,,007,013,Top,Bottom,0.009280002160926443,0.0005548291098875779,True,,,,,,,,,
pair,,,,,,,,007,014,Top,Bottom,0.015517150468052925,-0.0028713761855669873,True,,,,,,,,,
pair,,,,,,,,007,015,Top,Bottom,0.015425405383668489,0.0022496660151318792,True,,,,,,,,,
pair,,,,,,,,008,009,Top,Top,0.003778348046040682,-0.004274966594266516,True,,,,,,,,,
pair,,,,,,,,008,010,Top,Top,0.002864975214475763,-0.003877820638194862,True,,,,,,,,,
pair,,,,,,,,008,011,Top,Bottom,0.013234831462456227,0.009539580388604918,True,,,,,,,,,
pair,,,,,,,,008,012,Top,Bottom,0.016680665637554555,-0.0025848267542869507,True,,,,,,,,,
pair,,,,,,,,008,013,Top,Bottom,0.011762019033728519,0.003343587256608771,True,,,,,,,,,
pair,,,,,,,,008,014,Top,Bottom,0.0175067806809393,-8.261803884579422e-05,True,,,,,,,,,
pair,,,,,,,,008,015,Top,Bottom,0.0171780227672967,0.005038424161853072,True,,,,,,,,,
pair,,,,,,,,009,010,Top,Top,0.0036807646412706538,0.00039714595607165393,True,,,,,,,,,
pair,,,,,,,,009,011,Top,Bottom,0.015519764423689622,0.013814546982871434,True,,,,,,,,,
pair,,,,,,,,009,012,Top,Bottom,0.018445053342856486,0.0016901398399795653,True,,,,,,,,,
pair,,,,,,,,009,013,Top,Bottom,0.013728689635898385,0.007618553850875287,True,,,,,,,,,
pair,,,,,,,,009,014,Top,Bottom,0.01988159812927842,0.004192348555420722,True,,,,,,,,,
pair,,,,,,,,009,015,Top,Bottom,0.019711933659566114,0.009313390756119588,True,,,,,,,,,
pair,,,,,,,,010,011,Top,Bottom,0.01184152129466296,0.01341740102679978,True,,,,,,,,,
pair,,,,,,,,010,012,Top,Bottom,0.014859254850070707,0.0012929938839079114,True,,,,,,,,,
pair,,,,,,,,010,013,Top,Bottom,0.010079921889223346,0.007221407894803633,True,,,,,,,,,
pair,,,,,,,,010,014,Top,Bottom,0.016202450999680585,0.003795202599349068,True,,,,,,,,,
pair,,,,,,,,010,015,Top,Bottom,0.01603268857744937,0.008916244800047934,True,,,,,,,,,
pair,,,,,,,,011,012,Bottom,Bottom,0.00411877432605791,-0.012124407142891869,True,,,,,,,,,
pair,,,,,,,,011,013,Bottom,Bottom,0.0021429148765244256,-0.006195993131996147,True,,,,,,,,,
pair,,,,,,,,011,014,Bottom,Bottom,0.004362930443971455,-0.009622198427450712,True,,,,,,,,,
pair,,,,,,,,011,015,Bottom,Bottom,0.0043141521126200556,-0.004501156226751846,True,,,,,,,,,
pair,,,,,,,,012,013,Bottom,Bottom,0.004933333230517548,0.005928414010895722,True,,,,,,,,,
pair,,,,,,,,012,014,Bottom,Bottom,0.0036799478439797214,0.0025022087154411565,True,,,,,,,,,
pair,,,,,,,,012,015,Bottom,Bottom,0.004552553414959554,0.007623250916140023,True,,,,,,,,,
pair,,,,,,,,013,014,Bottom,Bottom,0.006315432917106176,-0.003426205295454565,True,,,,,,,,,
pair,,,,,,,,013,015,Bottom,Bottom,0.0064038711658772,0.0016948369052443013,True,,,,,,,,,
pair,,,,,,,,014,015,Bottom,Bottom,0.001056440963226709,0.0051210422006988665,True,,,,,,,,,
region_summary,,Top,,,,,True,,,,,,,,006;007;008;009;010,5,0.01249957062402247,0.007562632351891807,0.11190102831659317,0.11398781249099389,0.163659,0.08724,0.4
region_summary,,Middle,,,,,True,,,,,,,,001;002;003;004;005,5,0.00719747236649323,0.004654635510291882,0.1154574965168777,0.11795653580923884,0.163659,0.08724,0.4
region_summary,,Bottom,,,,,True,,,,,,,,011;012;013;014;015,5,0.007492275691735851,0.006251914630979627,0.11293348533949603,0.11353344970112238,0.163659,0.08724,0.4
region_summary,,All,,,,,True,,,,,,,,001;002;003;004;005;006;007;008;009;010;011;012;013;014;015,15,0.01249957062402247,0.007562632351891807,0.11194440149431023,0.11795653580923884,0.163659,0.08724,0.4
