scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
218,2131.64307923615,0.006751237824700749,0.3275738890021671,0.0021226440662216444,1.0,1.0,False
219,2131.6815172731876,0.007593113231296166,0.3099323345288667,0.002387446349940752,1.0,1.0,False
220,2131.6884302049875,0.008125647155802102,0.30220365343444655,0.0025549315187379336,1.0,1.0,False
221,2131.6963915377855,0.008012661686295948,0.29414629834815287,0.0025194516736541453,1.0,1.0,False
222,2131.7083627432585,0.007546328367421715,0.2848290449121009,0.0023728709635102447,1.0,1.0,False
223,2131.6667483747005,0.007617481038918854,0.2923621667532643,0.0023951801673282778,1.0,1.0,False
224,2131.5350097864866,0.010758264422061955,0.32823225198160344,0.0033824052281869227,1.0,1.0,False
225,2131.455675944686,0.009484523345161916,0.34762479021873105,0.002981749145896494,1.0,1.0,False
226,2131.3955096900463,0.009273729624293207,0.36099155601539223,0.002915355970333032,1.0,1.0,False
227,2131.3759635537863,0.00836891829788009,0.36158946340935927,0.0026308895697396573,1.0,1.0,False
228,2131.359790891409,0.008255067695740354,0.361127947104535,0.0025950895900720963,1.0,1.0,False
229,2131.3020849972963,0.00871791632733752,0.3737237751691964,0.002740484132937954,1.0,1.0,False
230,2131.285523787141,0.009154223307766192,0.3733865228512627,0.0028776288936135474,1.0,1.0,False
231,2131.4277101308107,0.009431080998958601,0.32314469184660766,0.0029650701322282928,1.0,1.0,False
232,2131.7756227701902,0.008284620556101012,0.20820325117387029,0.00260547447813724,1.0,1.0,False
233,2131.998329566617,0.00858341156738611,0.13261342394656594,0.002700010819246695,1.0,1.0,False
234,2132.2391152903438,0.008894559160713663,0.05132090713755133,0.0027985206527412804,1.0,1.0,False
235,2132.5613439679146,0.009681797820794126,-0.055619999938130604,0.003047121552543809,1.0,1.0,False
236,2132.7212700992823,0.009473628811149708,-0.11149877991260837,0.0029820698592132413,1.0,1.0,False
237,2132.8009033724666,0.009351552096199764,-0.1421076046943881,0.0029438880399145296,1.0,1.0,False
238,2132.848875410855,0.00849350305015665,-0.1627500362670844,0.0026739162459577547,1.0,1.0,False
239,2132.8548736572266,0.008044621812180039,-0.17017779478624107,0.0025326425730449968,1.0,1.0,False
240,2132.828837007284,0.00816538672139814,-0.16751917548089068,0.0025706300745705567,1.0,1.0,False
241,2132.792558476329,0.008535835128180128,-0.1616352182102787,0.0026871971301869585,1.0,1.0,False
242,2132.7654702588916,0.008794693596777816,-0.15864351704448154,0.0027686522427675824,1.0,1.0,False
243,2132.7468764185905,0.008840156975497948,-0.15832487205454981,0.002782950018323986,1.0,1.0,False
244,2132.719134360552,0.008970274829083276,-0.15512524325862387,0.0028238728469006714,1.0,1.0,False
245,2132.681415721774,0.009294512446216556,-0.14878398268052706,0.002925878178613659,1.0,1.0,False
246,2132.647557914257,0.00990213292090078,-0.14365716108977722,0.003117092318579262,1.0,1.0,False
247,2132.628130584955,0.010214904667415708,-0.14307189595143655,0.0032155263155953053,1.0,1.0,False
248,2132.639444515109,0.009580555278908002,-0.152162620573165,0.003015901464972558,1.0,1.0,False
249,2132.668461099267,0.008499058668725029,-0.16682528729131718,0.002675555707868941,1.0,1.0,False
250,2132.7064914256334,0.00786507562082359,-0.18432505384811293,0.0024760874518014054,1.0,1.0,False
251,2132.7257023602724,0.00776976356518113,-0.19589948728770423,0.0024461519614804536,1.0,1.0,False
252,2132.7028811722994,0.007840020600886784,-0.19424000675542175,0.0024682523587893977,1.0,1.0,False
253,2132.652872055769,0.007941601593402856,-0.18402014774829922,0.0025001496771568346,1.0,1.0,False
254,2132.5767156630754,0.008631651075097916,-0.16556836971363964,0.00271723271616596,1.0,1.0,False
255,2132.482364118099,0.023498776441204277,-0.14138920733535087,0.007397011927959643,1.0,1.0,False
256,2132.4864710122347,0.009864648174481074,-0.14820224541188054,0.0031051961011638726,1.0,1.0,False
257,2132.444727793336,0.009302481583458417,-0.14058164096036307,0.002928161653837158,1.0,1.0,False
258,2132.4253675937653,0.00861417712552352,-0.1400056177066631,0.0027114858230638606,1.0,1.0,False
259,2132.417173743248,0.00809168996233042,-0.14294334213479942,0.002547032932924026,1.0,1.0,False
260,2132.4024424254894,0.007905006104381284,-0.14382216946853532,0.002488262952484432,1.0,1.0,False
261,2132.39565859735,0.008085946361846327,-0.14720154416926334,0.0025452312350095355,1.0,1.0,False
262,2132.3947462290525,0.008224748674842821,-0.15242802048339854,0.0025889496479847324,1.0,1.0,False
263,2132.3823087364435,0.008131467382559272,-0.154025595012115,0.0025595868055836458,1.0,1.0,False
264,2132.3449059277773,0.0077841633492585225,-0.14776369342479256,0.0024502095203339683,1.0,1.0,False
265,2132.2860012203455,0.007225797417822518,-0.13473297018634867,0.0022743590025714475,1.0,1.0,False
266,2132.227499142289,0.006921264770592132,-0.12182848513936051,0.002178417482701239,1.0,1.0,False
267,2132.181063711643,0.007221423929842778,-0.11272125174969005,0.0022728197239396336,1.0,1.0,False
268,2132.1406520083547,0.007717270243784818,-0.1055090604824045,0.0024288159144154955,1.0,1.0,False
269,2132.098185069859,0.007913658770823534,-0.09764917746321089,0.002490556770362587,1.0,1.0,False
270,2132.0548694003373,0.007758613771800669,-0.08952135064123468,0.002441691624980324,1.0,1.0,False
271,2132.0331278815866,0.007484531090039474,-0.08818212584725416,0.0023554175165472853,1.0,1.0,False
272,2132.0552728287876,0.007243357270924668,-0.10065327966469795,0.0022795925121507155,1.0,1.0,False
273,2132.0809578560293,0.007376319528693996,-0.11423782698386731,0.0023215147978820497,1.0,1.0,False
274,2132.069013234228,0.0075745747624602865,-0.11597846946483514,0.0023839125258570833,1.0,1.0,False
275,2132.0319743510336,0.007689982563838801,-0.10982029087819001,0.0024201842798050694,1.0,1.0,False
276,2131.9933453891426,0.00779856435298252,-0.10316076995087542,0.002454301041787517,1.0,1.0,False
277,2131.976030255668,0.008270043353176944,-0.10320795713215603,0.0026026685815661267,1.0,1.0,False
278,2131.984972522594,0.008643203979824227,-0.11151758242471033,0.0027201567728801636,1.0,1.0,False
279,2132.0108169219457,0.00819374369299355,-0.125145754251605,0.002578791270844843,1.0,1.0,False
280,2132.043110927567,0.007259047730377374,-0.14080318188570118,0.002284705199752857,1.0,1.0,False
281,2132.0638434886932,0.006543788242428012,-0.1528211061072966,0.0020596453969753395,1.0,1.0,False
282,2132.0513638239354,0.006473435064741776,-0.15438457786194704,0.0020375032844145995,1.0,1.0,False
283,2132.001307230268,0.006819808016580153,-0.14411985679839745,0.0021464509438609263,1.0,1.0,False
284,2131.942868741229,0.007017539257609882,-0.131216432969552,0.0022085931847632906,1.0,1.0,False
285,2131.9232416003942,0.007033681970516464,-0.1305271272130426,0.002213660497133248,1.0,1.0,False
286,2131.9610082600266,0.007239629581844811,-0.14790024620816666,0.002278580138130542,1.0,1.0,False
287,2131.990640986245,0.007949926849010674,-0.1627128183455966,0.0025022316001868223,1.0,1.0,False
288,2131.983645739965,0.008438004093315642,-0.16599591903315059,0.0026558660821586373,1.0,1.0,False
289,2131.9485759753734,0.008172720726514928,-0.1604415210246657,0.00257231841931185,1.0,1.0,False
290,2131.9179705157876,0.007336762490935706,-0.15629125747221906,0.0023091655690526207,1.0,1.0,False
291,2131.899629946798,0.006571504884938413,-0.1560001881884432,0.0020682985430923316,1.0,1.0,False
292,2131.872926481068,0.006542916429624673,-0.1530759350667381,0.0020592754658344432,1.0,1.0,False
293,2131.8503046110272,0.007144479638029409,-0.15143524048869494,0.002248584151874074,1.0,1.0,False
294,2131.854602381587,0.007665392748893813,-0.1582659358769547,0.0024125680478424604,1.0,1.0,False
295,2131.881364721805,0.00778816002948031,-0.17216618122898808,0.002451295720750192,1.0,1.0,False
296,2131.9148621335626,0.0076902455340654334,-0.18818567937154285,0.0024205770634469098,1.0,1.0,False
297,2131.9461746253073,0.0076475229636563885,-0.20351691953527506,0.0024072200959512386,1.0,1.0,False
298,2131.964791279286,0.00785836148125017,-0.2148511735805414,0.002473656201774257,1.0,1.0,False
299,2131.9578307904303,0.008525588521550276,-0.21813328157691103,0.0026837011224329957,1.0,1.0,False
300,2131.9055579826236,0.009240978413039252,-0.20715101452458384,0.002908792055762626,1.0,1.0,False
301,2131.8230728656054,0.009366192136488524,-0.1866586123039724,0.0029480205545884424,1.0,1.0,False
302,2131.7579253166914,0.00877563949736241,-0.1716232101884998,0.0027620074046920797,1.0,1.0,False
