frame_a,frame_b,normal_angle_diff_deg,translation_difference_mm,tvec_difference_mm,depth_difference_mm,camera_board_distance_difference_mm,v_overlap_100px_jaccard,v_overlap_10px_jaccard,v_interval_overlap_px,v_interval_union_px,v_interval_iou,lambda_interval_overlap_mm,lambda_interval_iou,lambda_span_difference_mm,geometric_distance,geometric_similarity,near_duplicate_strict,near_duplicate_candidate,similarity_rank
010,052,9.095187837312649,69.00271916768659,301.27224393504423,24.606247205661703,24.66615315709953,0.8636363636363636,0.8443396226415094,1781.008028467376,2115.9603157448296,0.841701999425472,0.0,0.0,1.3056610557590602,1.2686200533601908,0.28121942194143185,False,False,70
029,030,12.94062281130398,18.664025345196894,13.61093905598322,16.599683645284017,16.545953500811493,0.9629629629629629,0.8226415094339623,2515.0047158894395,2664.9840416346087,0.9437222424592167,0.0,0.0,1.0116688085722672,1.2734847810517087,0.27985468825243787,False,False,71
017,031,6.176930913226464,87.28385644087783,261.21844258282454,12.879284970206072,13.976500079783932,0.6071428571428571,0.5306859205776173,1650.9555998524293,2761.9613277136195,0.5977475438510602,33.49872067576473,0.5031617365880615,7.762780457682425,1.2914001392473433,0.27488563535585053,False,False,72
034,036,1.4552679709804073,41.54765149093878,44.46543103543225,41.15410059063436,41.406753349566884,0.9285714285714286,0.9283018867924528,2480.738583654289,2637.9582947829763,0.9404009868390957,0.0,0.0,1.1667101432157096,1.2944056207770647,0.27406071192302867,False,False,73
028,050,11.036704558579874,67.8564547161628,116.67940383799119,10.389089378997255,8.555598547386353,0.6,0.5912162162162162,1765.915247875056,2951.9596889278923,0.5982179412878128,0.0,0.0,3.9705189725212904,1.30111161162506,0.2722290118434016,False,False,74
008,033,12.58749005931758,22.009419868936412,238.9102576964438,20.672275779646043,20.939027086294004,0.8571428571428571,0.8582677165354331,2293.6590226415274,2627.986657882455,0.8727818369099645,0.0,0.0,0.7941384296962042,1.3067305086669163,0.27070367442416476,False,False,75
006,010,9.832567786454707,70.42267550355928,271.55950918812647,22.504988019280972,20.462514133235572,0.64,0.6367521367521367,1478.0021257638905,2331.003977447343,0.634062464098596,0.0,0.0,0.42279121714761914,1.3135801971717043,0.2688557745714579,False,False,76
029,053,13.932724852456412,35.55990015448524,201.9928084718725,1.3295026602177131,0.27843108527440563,0.7777777777777778,0.6380597014925373,1934.9957066037248,2663.999764617149,0.7263498038941488,4.3355601686373575,0.6668494174823116,2.1659978367760004,1.3163346155699909,0.2681162522240244,False,False,77
011,035,0.6081503005488907,89.01823616720398,150.10038729164518,0.25439805445284946,2.230736738537985,0.5862068965517241,0.6067415730337079,1634.0316133824485,2805.9856799576232,0.5823378305363006,38.93178447385151,0.78036226248895,10.957589148188276,1.316998814298327,0.2679382288782356,False,False,78
034,053,12.767306152887343,58.14692855678698,153.41590651187735,1.0983181597299563,0.3475307845773159,0.6333333333333333,0.5121107266435986,1704.9789665941635,2890.99923617802,0.5897542085995817,1.0226950327213444,0.23588532806425608,3.312865135916013,1.330769139716937,0.2642739195430665,False,False,79
029,050,12.978177140181181,57.150690480343584,120.77981854378092,4.619648964070052,6.1116949377391165,0.5666666666666667,0.5767918088737202,1683.9554025608147,2916.0034517158956,0.5774874517277772,6.366514347541056,0.9792290312937513,0.135043657872302,1.333453712102028,0.2635654085266317,False,False,80
029,033,13.749464346632655,24.81461600902328,230.9765940307619,15.008861793701612,14.86508503492064,0.8,0.8122743682310469,2358.995847174821,2854.006178113663,0.8265559707841923,0.0,0.0,1.7650264885520528,1.348629787716152,0.25959571830610895,False,False,81
008,034,2.488146898180241,36.123856747608464,226.38174242128656,35.91232207383541,35.73501242191173,0.8928571428571429,0.8859315589353612,2330.64504399183,2626.978559864348,0.8871960660813996,0.0,0.0,8.03802789094027,1.3514362361803658,0.25886819765326696,False,False,82
