s,delta_lambda_mm
-0.17019866698461306,0.11246659768667548
-0.16999896662232605,0.11155960888389986
-0.16979926626003911,0.11065546461109486
-0.1695995658977521,0.10975416231350293
-0.16939986553546516,0.10885569943636757
-0.16920016517317818,0.10796007342493141
-0.1690004648108912,0.10706728172443744
-0.16880076444860423,0.10617732178012868
-0.16860106408631725,0.10529019103724802
-0.16840136372403028,0.10440588694103853
-0.1682016633617433,0.10352440693674313
-0.16800196299945633,0.10264574846960474
-0.16780226263716935,0.10176990898486638
-0.16760256227488238,0.10089688592777096
-0.1674028619125954,0.1000266767435615
-0.16720316155030843,0.099159278877480911
-0.16700346118802145,0.098294689774772168
-0.16680376082573448,0.097432906880678294
-0.1666040604634475,0.096573927640442161
-0.16640436010116053,0.095717749499306781
-0.16620465973887355,0.094864369902515122
-0.16600495937658657,0.094013786295310126
-0.1658052590142996,0.093165996122934747
-0.16560555865201262,0.092320996830631968
-0.16540585828972565,0.091478785863644746
-0.16520615792743867,0.090639360667216035
-0.1650064575651517,0.089802718686588776
-0.16480675720286472,0.088968857367006035
-0.16460705684057775,0.088137774153710657
-0.16440735647829077,0.087309466491945625
-0.1642076561160038,0.086483931826953964
-0.16400795575371685,0.085661167603978683
-0.16380825539142985,0.084841171268262461
-0.1636085550291429,0.084023940265048669
-0.1634088546668559,0.083209472039579804
-0.16320915430456895,0.082397764037099336
-0.16300945394228197,0.081588813702849858
-0.162809753579995,0.080782618482074436
-0.16261005321770802,0.079979175820016069
-0.16241035285542105,0.079178483161917654
-0.16221065249313407,0.078380537953022217
-0.1620109521308471,0.077585337638572741
-0.16181125176856012,0.076792879663812097
-0.16161155140627315,0.076003161473983297
-0.16141185104398617,0.075216180514329323
-0.1612121506816992,0.074431934230093103
-0.16101245031941222,0.073650420066517605
-0.16081274995712525,0.072871635468845827
-0.16061304959483827,0.072095577882320683
-0.16041334923255129,0.071322244752185168
-0.16021364887026432,0.070551633523682225
-0.16001394850797734,0.069783741642054836
-0.15981424814569037,0.069018566552545929
-0.15961454778340339,0.068256105700398514
-0.15941484742111642,0.067496356530855534
-0.15921514705882944,0.066739316489159928
-0.15901544669654247,0.065984983020554666
-0.15881574633425549,0.065233353570282746
-0.15861604597196852,0.064484425583587093
-0.15841634560968154,0.063738196505710693
-0.15821664524739457,0.062994663781896498
-0.15801694488510759,0.062253824857387466
-0.15781724452282064,0.061515677177426689
-0.15761754416053364,0.060780218187256763
-0.15741784379824669,0.060047445332121113
-0.15721814343595969,0.05931735605726228
-0.15701844307367274,0.058589947807923634
-0.15681874271138574,0.057865218029347715
-0.15661904234909879,0.057143164166777907
-0.15641934198681179,0.056423783665456764
-0.15621964162452484,0.055707073970627664
-0.15601994126223787,0.054993032527533237
-0.15582024089995089,0.054281656781416568
-0.15562054053766392,0.053572944177520648
-0.15542084017537694,0.052866892161088377
-0.15522113981308996,0.052163498177362752
-0.15502143945080299,0.051462759671586748
-0.15482173908851601,0.0507646740890033
-0.15462203872622904,0.050069238874855364
-0.15442233836394206,0.049376451474385935
-0.15422263800165509,0.048686309332837976
-0.15402293763936811,0.047998809895454408
-0.15382323727708114,0.047313950607478235
-0.15362353691479416,0.046631728914152411
-0.15342383655250719,0.045952142260719891
-0.15322413619022021,0.045275188092423632
-0.15302443582793324,0.044600863854506602
-0.15282473546564626,0.043929166992211763
-0.15262503510335929,0.043260094950782077
-0.15242533474107231,0.042593645175460507
-0.15222563437878533,0.041929815111490021
-0.15202593401649836,0.041268602204113602
-0.15182623365421138,0.040610003898574151
-0.15162653329192444,0.039954017640114761
-0.15142683292963743,0.039300640873978138
-0.15122713256735049,0.038649871045407583
-0.15102743220506348,0.038001705599645691
-0.15082773184277654,0.037356141981935806
-0.15062803148048953,0.036713177637520536
-0.15042833111820259,0.036072810011643155
-0.15022863075591558,0.035435036549546314
-0.15002893039362863,0.034799854696473315
-0.14982923003134166,0.034167261897666862
-0.14962952966905468,0.033537255598370008
-0.14942982930676771,0.032909833243825695
-0.14923012894448073,0.032284992279276906
-0.14903042858219376,0.031662730149966602
-0.14883072821990678,0.031043044301137725
-0.14863102785761981,0.030425932178033261
-0.14843132749533283,0.029811391225896166
-0.14823162713304586,0.029199418889969398
-0.14803192677075888,0.028590012615495923
-0.14783222640847191,0.027983169847718706
-0.14763252604618493,0.027378888031880693
-0.14743282568389796,0.026777164613224866
-0.14723312532161098,0.026177997036994183
-0.14703342495932401,0.025581382748431612
-0.14683372459703703,0.024987319192780105
-0.14663402423475005,0.024395803815282616
-0.14643432387246308,0.023806834061182131
-0.1462346235101761,0.023220407375721574
-0.14603492314788913,0.022636521204143972
-0.14583522278560215,0.022055172991692226
-0.14563552242331518,0.021476360183609336
-0.1454358220610282,0.020900080225138225
-0.14523612169874123,0.020326330561521916
-0.14503642133645428,0.019755108638003383
-0.14483672097416728,0.019186411899825402
-0.14463702061188033,0.01862023779223123
-0.14443732024959333,0.018056583760463513
-0.14423761988730638,0.017495447249765522
-0.14403791952501938,0.016936825705379927
-0.14383821916273243,0.016380716572550011
-0.14363851880044542,0.015827117296518381
-0.14343881843815848,0.015276025322528343
-0.1432391180758715,0.014727438095822609
-0.14303941771358453,0.014181353061644232
-0.14283971735129755,0.013637767665236191
-0.14264001698901058,0.013096679351841427
-0.1424403166267236,0.01255808556670289
-0.14224061626443663,0.01202198375506355
-0.14204091590214965,0.011488371362166391
-0.14184121553986268,0.010957245833254366
-0.1416415151775757,0.010428604613570411
-0.14144181481528872,0.0099024451483575374
-0.14124211445300175,0.0093787648828586555
-0.14104241409071477,0.0088575612623167585
-0.1408427137284278,0.0083388317319748051
-0.14064301336614082,0.0078225737370757539
-0.14044331300385385,0.007308784722862588
-0.14024361264156687,0.0067974621345782207
-0.1400439122792799,0.0062886034174656595
-0.13984421191699292,0.0057822060167678629
-0.13964451155470595,0.0052782673777277619
-0.13944481119241897,0.0047767849455883499
-0.139245110830132,0.0042777561655925785
-0.13904541046784502,0.0037811784829834064
-0.13884571010555807,0.0032870493430038755
-0.13864600974327107,0.0027953661908967364
-0.13844630938098412,0.0023061264719052184
-0.13824660901869712,0.0018193276312720233
-0.13804690865641017,0.0013349671142403804
-0.13784720829412317,0.00085304236605297096
-0.13764750793183622,0.00037355083195304839
-0.13744780756954922,-0.00010351004281670267
-0.13724810720726227,-0.00057814281301306336
-0.1370484068449753,-0.0010503500333932589
-0.13684870648268832,-0.0015201342587142647
-0.13664900612040135,-0.0019874980437331186
-0.13644930575811437,-0.0024524439432068584
-0.13624960539582739,-0.0029149745118925083
-0.13604990503354042,-0.0033750923045471198
-0.13585020467125344,-0.003832799875927731
-0.13565050430896647,-0.0042880997807913761
-0.13545080394667949,-0.0047409945738951034
-0.13525110358439252,-0.0051914868099959162
-0.13505140322210554,-0.0056395790438509008
-0.13485170285981857,-0.006085273830217057
-0.13465200249753159,-0.0065285737238514295
-0.13445230213524462,-0.0069694812795110701
