scope,outcome,predictor,predictor_category,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,theil_sen_slope
leave027_out,rmse_mm,laser_coverage,image_quality,29,0.08535064937785439,0.6597818495320723,0.13872121188935999,0.47296836902178463,0.017734138608053836,0.020648415488270018
leave027_out,rmse_mm,quality_warning_count,image_quality,29,-0.10292255689757997,0.5952183867244243,-0.10089077473516249,0.6025433570305496,-0.004436570157839855,-0.004290738612483913
leave027_out,rmse_mm,acquisition_order,acquisition_order,29,-0.22357023615140334,0.24368183332967877,-0.2679802955665024,0.159872727464912,-0.0004433187261026273,-0.0005556771174169647
leave027_out,offset_tilt_explained_fraction,board_center_z_mm,pose_depth,29,-0.36413681756577027,0.052144155532217865,-0.3374384236453201,0.07342935466655037,-0.003980249839746113,-0.0039280382171841995
leave027_out,offset_tilt_explained_fraction,board_tilt_deg,pose_orientation,29,0.3400422619027153,0.07109816710446563,0.23940886699507383,0.2109958298004505,0.009893951264912729,0.008516519547123343
leave027_out,offset_tilt_explained_fraction,board_roll_deg,pose_orientation,29,0.03614700506781222,0.8523226890379741,-0.09064039408866993,0.6400654847396492,0.0007759061916989039,-0.002062503315673542
leave027_out,offset_tilt_explained_fraction,board_pitch_deg,pose_orientation,29,-0.008087844139404306,0.9667863938846565,-0.26206896551724135,0.16964389470940788,-0.0002297634307007444,-0.008618293494546323
leave027_out,offset_tilt_explained_fraction,board_nx,pose_orientation,29,-0.008894759742878355,0.9634747929103683,-0.26206896551724135,0.16964389470940788,-0.014720365112901505,-0.5009141996085431
leave027_out,offset_tilt_explained_fraction,board_ny,pose_orientation,29,-0.03222202624794688,0.8682112505785372,0.09064039408866993,0.6400654847396492,-0.04043362478113861,0.1205456454649956
leave027_out,offset_tilt_explained_fraction,board_nz,pose_orientation,29,0.37221658001034313,0.046769976882874105,0.23940886699507383,0.2109958298004505,3.013448156914429,2.6855697785946187
leave027_out,offset_tilt_explained_fraction,pnp_rmse_px,pnp,29,0.26985681576237996,0.15685659724628967,0.24827586206896549,0.1940674135226441,2.1846065957540692,3.0717393282985754
leave027_out,offset_tilt_explained_fraction,u_center_px,coverage,29,-0.37744010751855867,0.04353625925597341,-0.35960591133004915,0.0553642385159981,-0.001126477995116821,-0.001120010505713009
leave027_out,offset_tilt_explained_fraction,u_span_px,coverage,29,0.307718451881479,0.10439639040853173,0.15221674876847288,0.4305416911367653,0.0008368413455227014,0.0005653490039508317
