record_type,apex_projection_t,alpha_displacement_t,status,optimizer_cost,relative_cost_to_t0,valid_grid_count,invalid_grid_count,apex_direction_x,apex_direction_y,apex_direction_z,alpha_delta_rad,apex_delta_mm,top_formal_edge_delta_lambda_p95_mm,top_formal_edge_delta_lambda_max_mm,middle_formal_delta_lambda_p95_mm,middle_formal_delta_lambda_max_mm,bottom_formal_edge_delta_lambda_p95_mm,bottom_formal_edge_delta_lambda_max_mm
apex_alpha_profile,1.333333333333333,-1.3333333333333335,2,1.4364495698558581,1.0364401039979692,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,13.33333333333333,0.06775602663894914,0.07045566387557756,0.047952308147358735,0.06867530022384472,0.0723599671194961,0.07498332637055682
apex_alpha_profile,1.333333333333333,0.0,2,1.3967289977139021,1.0077805570249425,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,13.33333333333333,0.02077883738741093,0.020902662238768244,0.016458394385011843,0.020943305567584503,0.022454914201148313,0.02294608496345063
apex_alpha_profile,1.333333333333333,1.333333333333333,2,1.577051312452413,1.1378883467884848,3118,1023,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,13.33333333333333,0.10738966459086896,0.11033659803013052,0.08045463521600589,0.11090580708332709,0.11841782806150149,0.12270430411047073
apex_alpha_profile,1.333333333333333,2.666666666666666,2,1.976831749905711,1.4263415489513898,3114,1027,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,13.33333333333333,0.1924629920418056,0.198243162316885,0.14411265861929223,0.2036003843780918,0.21696327185085806,0.22511417714588333
apex_alpha_profile,1.333333333333333,4.0,2,2.5963963821160116,1.8733754339668893,3113,1028,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,13.33333333333333,0.2767160329280614,0.28554695135971997,0.20897435262276645,0.29885469007695065,0.3181317911869428,0.3301452900670938
apex_alpha_profile,2.666666666666666,-4.0,2,1.999930449568217,1.4430079319437479,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,26.66666666666666,0.21354793681459794,0.21890247426824772,0.15738945519722164,0.23176652349798132,0.24294009809159434,0.25170110197791473
apex_alpha_profile,2.666666666666666,-2.666666666666667,2,1.5975734761404508,1.1526956842080835,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,26.66666666666666,0.13219207751108114,0.13740571856624229,0.09348427850346752,0.13430613895479837,0.14149220909678206,0.1465243764864681
apex_alpha_profile,2.666666666666666,-1.3333333333333335,2,1.4044357211855911,1.0133411819463467,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,26.66666666666666,0.04551959853279186,0.04784699552658367,0.030925637060903455,0.04670641655138752,0.04902022999772271,0.05089761737576737
apex_alpha_profile,2.666666666666666,0.0,2,1.4197021054561265,1.0243563217974552,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,26.66666666666666,0.04029172027705954,0.04057933232809319,0.03203315332797274,0.040936563718332764,0.043864973055281094,0.0448386898381159
apex_alpha_profile,2.666666666666666,1.333333333333333,2,1.6425109861049385,1.1851194034101973,3118,1023,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,26.66666666666666,0.12418747756798892,0.12725562417847414,0.09386541146377564,0.12887344103319265,0.1377685618691089,0.14251327721035523
apex_alpha_profile,2.666666666666666,2.666666666666666,2,2.0724714887750784,1.4953483995782813,3114,1027,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,26.66666666666666,0.20677642094117343,0.21268480239348264,0.15602153599206758,0.2195768568673202,0.23414357328491633,0.24269326591797835
apex_alpha_profile,2.666666666666666,4.0,2,2.7100663245796657,1.9553916003961045,3113,1028,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,26.66666666666666,0.2886899051487489,0.2976524662127531,0.21896909438742682,0.31270888632252536,0.3330039792358548,0.3453583885761873
apex_alpha_profile,4.0,-4.0,2,1.8512546315804557,1.3357340091476406,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,40.0,0.19118906772050648,0.19782021977346176,0.13714918682353522,0.20065628625184218,0.21094972726803007,0.21833082537284554
apex_alpha_profile,4.0,-2.666666666666667,2,1.5210885493050852,1.0975095870508558,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,40.0,0.10859758971917016,0.11357324659684309,0.07547256147918802,0.11096216441569595,0.11688187096160618,0.12096991199109652
apex_alpha_profile,4.0,-1.3333333333333335,2,1.3885351694597898,1.0018684718490698,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,40.0,0.024826457123390353,0.026546800511027868,0.015263735992562033,0.02575046499828204,0.02647007309269611,0.02793293094589444
apex_alpha_profile,4.0,0.0,2,1.4528239449574771,1.0482546914289268,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,40.0,0.05866520465142457,0.059144967891938904,0.04664729403106094,0.060041693091648085,0.06428161884634846,0.06574768165444311
apex_alpha_profile,4.0,1.333333333333333,2,1.7132072201251136,1.2361287904974778,3117,1024,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,40.0,0.1400696910929355,0.1432723803270619,0.1065981109797235,0.14601903915479397,0.15621794411071618,0.16141271119420253
apex_alpha_profile,4.0,2.666666666666666,2,2.169472919522531,1.5653377504623014,3114,1027,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,40.0,0.22031393837519317,0.22635381791474174,0.16735133346685416,0.23483848284115538,0.25053417395371863,0.2594824050912621
apex_alpha_profile,4.0,4.0,2,2.822225306852221,2.0363175651430176,3112,1029,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,40.0,0.30005217467560213,0.3091585736947309,0.22806539820804797,0.3258934301170484,0.3471499397511252,0.3598354982480032
