model,direction,parameter,unit,step,v_px,region,valid_count,invalid_count,median_dlambda_dtheta,p05_dlambda_dtheta,p95_dlambda_dtheta,rmse_dlambda_dtheta
M0,single_parameter,alpha,rad,1e-05,1686.1861985248845,middle_formal,31,10,1155.3101999766113,982.9419651111947,1362.4699683305153,1169.7024088483306
M0,single_parameter,alpha,rad,1e-05,1711.086000335716,middle_formal,31,10,1155.9378250012742,983.4961235270611,1363.1902183703914,1170.3364801092473
M0,single_parameter,alpha,rad,1e-05,1735.9858021465477,middle_formal,31,10,1156.609212313242,984.0918218429805,1363.957016292261,1171.0143615521533
M0,single_parameter,alpha,rad,1e-05,1760.8856039573793,middle_formal,31,10,1157.3243425971214,984.7290356589154,1364.7703465949235,1171.7360339340103
M0,single_parameter,alpha,rad,1e-05,1785.785405768211,middle_formal,31,10,1158.0831911942369,985.407735814192,1365.6301889483302,1172.5014731779572
M0,single_parameter,alpha,rad,1e-05,1810.6852075790425,middle_formal,31,10,1158.8857284721144,986.1278881601264,1366.536517895156,1173.3106504024504
M0,single_parameter,alpha,rad,1e-05,1835.5850093898741,middle_formal,31,10,1159.7319204270207,986.8894532587545,1367.4893039109293,1174.1635319222028
M0,single_parameter,alpha,rad,1e-05,1860.4848112007057,middle_formal,31,10,1160.621727825628,987.6923865078878,1368.488511965893,1175.0600792234143
M0,single_parameter,alpha,rad,1e-05,1885.3846130115373,middle_formal,31,10,1161.555106943979,988.5366387976545,1369.5341030995678,1176.0002491195226
M0,single_parameter,alpha,rad,1e-05,1910.284414822369,middle_formal,31,10,1162.5320091923186,989.422155831221,1370.6260330650366,1176.9839937751274
M0,single_parameter,alpha,rad,1e-05,1935.1842166332005,middle_formal,31,10,1163.552381115096,990.3488783891133,1371.7642531986485,1178.0112603518699
M0,single_parameter,alpha,rad,1e-05,1960.0840184440322,middle_formal,31,10,1164.6161647718145,991.3167424542734,1372.9487099539028,1179.081991712653
M0,single_parameter,alpha,rad,1e-05,1984.9838202548638,middle_formal,31,10,1165.723297481236,992.325679027317,1374.1793456375717,1180.1961257489409
M0,single_parameter,alpha,rad,1e-05,2009.8836220656954,middle_formal,31,10,1166.8737116565353,993.3756146494942,1375.4560972955687,1181.3535959512164
M0,single_parameter,alpha,rad,1e-05,2034.783423876527,middle_formal,31,10,1168.067335345313,994.4664706893035,1376.778897628128,1182.5543310551157
M0,single_parameter,alpha,rad,1e-05,2059.6832256873586,middle_formal,31,10,1169.3040923432818,995.5981640388244,1378.147674978436,1183.7982553319307
M0,single_parameter,alpha,rad,1e-05,2084.5830274981904,middle_formal,31,10,1170.5839011085573,996.7706069886616,1379.5623529091472,1185.0852885178574
M0,single_parameter,alpha,rad,1e-05,2109.4828293090222,middle_formal,31,10,1171.9066761259,997.9837069067797,1381.0228504269162,1186.4153457796438
M0,single_parameter,alpha,rad,1e-05,2134.3826311198536,middle_formal,31,10,1173.2723271563827,999.2373670172582,1382.529082053452,1187.7883378752606
M0,single_parameter,alpha,rad,1e-05,2159.2824329306854,middle_formal,31,10,1174.680759754665,1000.5314856897484,1384.0809580386804,1189.2041712015732
M0,single_parameter,alpha,rad,1e-05,2184.182234741517,middle_formal,31,10,1176.13187481993,1001.8659568231668,1385.6783840395792,1190.6627475980426
M0,single_parameter,alpha,rad,1e-05,2209.0820365523487,middle_formal,31,10,1177.6255691415827,1003.2406701839135,1387.3212611258623,1192.1639647252944
M0,single_parameter,alpha,rad,1e-05,2233.98183836318,middle_formal,31,10,1179.1617349786065,1004.6555110989174,1389.0094861153557,1193.7077158656887
M0,single_parameter,alpha,rad,1e-05,2258.881640174012,middle_formal,31,10,1180.7402604631534,1006.1103601714193,1390.7429515711556,1195.2938899869678
M0,single_parameter,alpha,rad,1e-05,2283.7814419848432,middle_formal,31,10,1182.3610290377928,1007.6050943723657,1392.5215457334161,1196.9223718699982
M0,single_parameter,alpha,rad,1e-05,2308.6812437956746,middle_formal,31,10,1184.023920779964,1009.1395861650198,1394.345152345977,1198.5930421893374
M0,single_parameter,alpha,rad,1e-05,2333.5810456065064,middle_formal,31,10,1185.7288109354158,1010.7137037834945,1396.2136508979484,1200.3057773860478
M0,single_parameter,alpha,rad,1e-05,2358.480847417338,middle_formal,31,10,1187.475570600327,1012.3273117073949,1398.126916959086,1202.0604497464124
M0,single_parameter,alpha,rad,1e-05,2383.3806492281697,middle_formal,31,10,1189.264067596696,1013.9802701047528,1400.0848215033554,1203.8569276687563
