column_u_px,bias_mm
774,3.6708011269999998
775,3.6638514839999998
776,3.6589631405
777,3.6557669800000001
778,3.6537996585000001
779,3.6521504230000001
780,3.6500924404999999
781,3.6469706239999997
782,3.6427285275000001
783,3.6370373599999999
784,3.6309575235000002
785,3.6252338960000001
786,3.6198475019999998
787,3.6149917025000002
788,3.6103275699999999
789,3.604733285
790,3.5978909689999998
791,3.5882874304999999
792,3.5761627809999998
793,3.5620097465000002
794,3.5471647750000002
795,3.5338253540000002
796,3.5232445209999996
797,3.5152662404999999
798,3.5086011355000002
799,3.5019141905
800,3.4946585945000002
801,3.4870031905000003
802,3.479173158
803,3.4707487969999997
804,3.4624721549999999
805,3.463691029
806,3.4560938320000001
807,3.4492696235000002
808,3.4430548915000001
809,3.4367500369999999
810,3.4295974234999997
811,3.4208306500000001
812,3.4106747500000001
813,3.4004405110000002
814,3.3917612584999999
815,3.3869549399999999
816,3.3854955579999997
817,3.3876248740000001
818,3.3913767655
819,3.3945594345000001
820,3.3958586444999996
821,3.3945131869999998
822,3.3897855525000002
823,3.3824440615000002
824,3.3776342575
825,3.3744844375
826,3.3729615024999999
827,3.3659838769999997
828,3.367445435
829,3.3686078354999998
830,3.3670183859999998
831,3.3616628909999999
832,3.352197254
833,3.3398306710000001
834,3.3317065699999997
835,3.3162674315
836,3.3028007539999997
837,3.292059413
838,3.2830560474999997
839,3.273771054
840,3.2624368735
841,3.2474201599999999
842,3.2297933075
843,3.2118220170000003
844,3.1958346020000001
845,3.1833561379999997
846,3.1759237714999999
847,3.1734879215
848,3.1750429215000002
849,3.178948112
850,3.1812355215000001
851,3.1806423864999998
852,3.176039206
853,3.1664703319999998
854,3.1534408539999998
855,3.1391529634999999
856,3.1244186924999999
857,3.1101197534999998
858,3.0972669909999997
859,3.0862368015000001
860,3.0776149784999998
861,3.0721082575000001
862,3.0698888909999997
863,3.071141795
864,3.0757335430000001
865,3.0821268604999998
866,3.0888400740000002
867,3.0939566149999997
868,3.0953745929999998
869,3.0927952325000003
870,3.0851235140000002
871,3.0734861410000001
872,3.0599679435000002
873,3.0463762340000002
874,3.0339216229999999
875,3.0233444795
876,3.0140840679999998
877,3.0053948435
878,2.9964599155
879,2.9878921460000001
880,2.9791604545000001
881,2.9703646890000002
882,2.9621227724999999
883,2.9549427939999999
884,2.9488493624999998
885,2.9435825085
886,2.9387919905
887,2.9338525120000001
888,2.9278873460000003
889,2.9200971185000002
890,2.911646545
891,2.9021773235000001
892,2.8920922495000001
893,2.8818194024999997
894,2.8720535460000001
895,2.8634453020000001
896,2.8564310995
897,2.851226247
898,2.8478661860000001
899,2.846583351
900,2.8470823784999997
901,2.8492144044999996
902,2.8524796779999999
903,2.8559397244999998
904,2.8585091724999998
905,2.8597624709999998
906,2.8591786754999999
907,2.8563550995
908,2.8513841640000002
909,2.8438772319999996
910,2.8342544094999997
911,2.8236039169999998
912,2.8128735885
913,2.8027352859999999
914,2.7927415464999998
915,2.781666263
916,2.7694554710000001
917,2.7560828294999999
918,2.7410511314999999
919,2.7254573
920,2.7119093789999997
921,2.7022181224999997
922,2.6960983350000003
923,2.6919731714999999
924,2.6884546174999997
925,2.6840992794999998
926,2.6798864174999997
927,2.6764956744999999
928,2.6737545704999999
929,2.6722623935000001
930,2.6720135994999996
931,2.6722058029999998
932,2.6718637940000001
933,2.670990411
934,2.6689945349999999
935,2.6649698400000004
936,2.6587456449999998
937,2.6493786784999998
938,2.6384261880000004
939,2.6267758360000002
940,2.6155263005
941,2.6073676214999999
942,2.6022584650000002
943,2.5992878755
944,2.5976869224999999
945,2.5965105670000002
946,2.5945682274999999
947,2.5905442789999999
948,2.5865445249999999
949,2.5840963270000001
950,2.5824925089999997
951,2.5806098725000002
952,2.5769314794999998
953,2.5699912244999998
954,2.5585058114999999
955,2.5427912245000002
956,2.5242310290000001
957,2.5054836119999999
958,2.4894236899999997
959,2.4768279624999998
960,2.4679720354999999
961,2.4616513050000002
962,2.456009264
963,2.4497231820000001
964,2.4426647419999998
965,2.4361669460000002
966,2.4297417714999998
967,2.4236470780000001
968,2.4182555904999998
969,2.413942987
970,2.410896401
971,2.4090919020000001
972,2.4073270935000002
973,2.4053877239999997
974,2.4026397369999999
975,2.3975259515
976,2.3911699235000001
977,2.3847044820000001
978,2.3777860940000002
979,2.3709714124999999
980,2.3631075914999999
981,2.3539562204999998
982,2.3427410039999996
983,2.3293189575
984,2.3141507135000001
