u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2126.605955,615.000000,5.483888,-87.177430,713.510061,5.498679,87.184059,-0.207185
2126.602809,616.000000,5.483590,-87.080590,713.513381,5.498565,87.087249,-0.211306
2126.604602,617.000000,5.483783,-86.983941,713.518277,5.499013,86.990644,-0.216979
2126.571002,618.000000,5.480451,-86.885914,713.511865,5.495433,86.892568,-0.211524
2126.518596,619.000000,5.475246,-86.787158,713.499444,5.489713,86.793714,-0.200157
2126.480554,620.000000,5.471471,-86.688964,713.491611,5.485628,86.695458,-0.193304
2126.465942,621.000000,5.470031,-86.591680,713.491262,5.484209,86.598175,-0.193815
2126.469102,622.000000,5.470360,-86.495086,713.496589,5.484812,86.501627,-0.199911
2126.500052,623.000000,5.473458,-86.399565,713.510792,5.488577,86.406226,-0.214742
2126.568359,624.000000,5.480277,-86.305485,713.536929,5.496595,86.312364,-0.241316
2126.640693,625.000000,5.487498,-86.211554,713.564354,5.505071,86.218660,-0.269157
2126.655601,626.000000,5.488999,-86.115401,713.573431,5.507011,86.122584,-0.278944
2126.618048,627.000000,5.485273,-86.017223,713.565744,5.502980,86.024347,-0.272235
2126.565180,628.000000,5.480021,-85.918459,713.553164,5.497207,85.925483,-0.260710
2126.525854,629.000000,5.476118,-85.820219,713.544909,5.492975,85.827179,-0.253442
2126.499871,630.000000,5.473545,-85.722493,713.540916,5.490261,85.729424,-0.250367
2126.529681,631.000000,5.476529,-85.626909,713.554748,5.493897,85.633956,-0.264832
2126.458316,632.000000,5.469435,-85.527445,713.536254,5.486018,85.534344,-0.247488
2126.430707,633.000000,5.466700,-85.429661,713.531738,5.483120,85.436526,-0.243900
2126.457120,634.000000,5.469346,-85.333944,713.544480,5.486369,85.340916,-0.257293
2126.492228,635.000000,5.472859,-85.238555,713.560000,5.490607,85.245657,-0.273419
2126.486473,636.000000,5.472300,-85.141603,713.562463,5.490195,85.148729,-0.276697
2126.447016,637.000000,5.468385,-85.043367,713.554157,5.485948,85.050429,-0.269378
2126.404910,638.000000,5.464206,-84.945033,713.545004,5.481399,84.952023,-0.261225
2126.382448,639.000000,5.461983,-84.847448,713.542126,5.479086,84.854417,-0.259248
2126.379018,640.000000,5.461657,-84.750586,713.545326,5.478938,84.757585,-0.263252
2126.377706,641.000000,5.461541,-84.653804,713.549203,5.479032,84.660839,-0.267921
2126.366546,642.000000,5.460444,-84.556649,713.549932,5.478005,84.563692,-0.269493
2126.338228,643.000000,5.457639,-84.458844,713.545178,5.475025,84.465852,-0.265669
2126.299306,644.000000,5.453777,-84.360640,713.537036,5.470838,84.367584,-0.258511
2126.271338,645.000000,5.451006,-84.262852,713.532392,5.467898,84.269761,-0.254795
2126.261594,646.000000,5.450051,-84.165752,713.533569,5.467032,84.172674,-0.256808
2126.247672,647.000000,5.448679,-84.068495,713.533410,5.465690,84.075419,-0.257506
2126.215908,648.000000,5.445531,-83.970567,713.527550,5.462318,83.977447,-0.252593
2126.180111,649.000000,5.441980,-83.872489,713.520400,5.458488,83.879314,-0.246412
2126.165769,650.000000,5.440567,-83.775219,713.520103,5.457098,83.782044,-0.246974
2126.183683,651.000000,5.442366,-83.679157,713.530110,5.459379,83.686068,-0.257675
2126.201166,652.000000,5.444123,-83.583078,713.539978,5.461610,83.590072,-0.268240
2126.175883,653.000000,5.441620,-83.485396,713.536182,5.458976,83.492363,-0.265359
2126.118990,654.000000,5.435969,-83.386535,713.522288,5.452744,83.393391,-0.252541
2126.077835,655.000000,5.431885,-83.288265,713.513421,5.448304,83.295052,-0.244668
2126.078807,656.000000,5.431997,-83.191567,713.518009,5.448656,83.198395,-0.250037
2126.116081,657.000000,5.435724,-83.096220,713.534193,5.453139,83.103183,-0.266817
2126.134907,658.000000,5.437614,-83.000182,713.544482,5.455523,83.007233,-0.277797
2126.095864,659.000000,5.433741,-82.901993,713.536284,5.451323,82.908980,-0.270584
2126.016449,660.000000,5.425847,-82.802310,713.515189,5.442529,82.809127,-0.250679
2125.937163,661.000000,5.417966,-82.702637,713.494135,5.433750,82.709285,-0.230814
2125.911941,662.000000,5.415470,-82.604970,713.490349,5.431123,82.611591,-0.227943
2125.931238,663.000000,5.417407,-82.508950,713.500782,5.433560,82.515659,-0.239063
2125.955270,664.000000,5.419815,-82.413101,713.512727,5.436535,82.419912,-0.251671
2125.955242,665.000000,5.419827,-82.316363,713.516985,5.436774,82.323212,-0.256716
2125.920583,666.000000,5.416391,-82.218349,713.510180,5.433072,82.225145,-0.250873
2125.879118,667.000000,5.412277,-82.120086,713.501200,5.428596,82.126812,-0.242890
2125.870206,668.000000,5.411404,-82.023021,713.502617,5.427824,82.029762,-0.245138
2125.897786,669.000000,5.414166,-81.927296,713.515689,5.431203,81.934147,-0.258856
2125.917305,670.000000,5.416125,-81.831272,713.526186,5.433665,81.838212,-0.270039
2125.896152,671.000000,5.414033,-81.733756,713.523689,5.431500,81.740679,-0.268436
2125.843001,672.000000,5.408756,-81.635071,713.510970,5.425694,81.641893,-0.256773
2125.786597,673.000000,5.403155,-81.536271,713.497212,5.419519,81.542984,-0.244088
2125.744524,674.000000,5.398980,-81.437998,713.488030,5.414974,81.444639,-0.235906
2125.711166,675.000000,5.395674,-81.340044,713.481631,5.411420,81.346636,-0.230462
2125.671973,676.000000,5.391787,-81.241881,713.473367,5.407203,81.248409,-0.223184
2125.628362,677.000000,5.387460,-81.143559,713.463691,5.402483,81.150011,-0.214516
2125.595161,678.000000,5.384170,-81.045618,713.457339,5.398947,81.052021,-0.209118
2125.593284,679.000000,5.383998,-80.948815,713.460990,5.398975,80.955251,-0.213565
2125.649261,680.000000,5.389586,-80.854106,713.483118,5.405583,80.860726,-0.236193
2125.730200,681.000000,5.397660,-80.760294,713.513218,5.415030,80.767164,-0.266668
2125.790547,682.000000,5.403684,-80.665730,713.536742,5.422136,80.672795,-0.290671
2125.799638,683.000000,5.404605,-80.569310,713.543892,5.423411,80.576438,-0.298561
2125.757569,684.000000,5.400431,-80.471045,713.534699,5.418866,80.478100,-0.290368
2125.697747,685.000000,5.394489,-80.372143,713.519834,5.412301,80.379080,-0.276593
2125.651518,686.000000,5.389902,-80.273735,713.509311,5.407283,80.280589,-0.267090
2125.635463,687.000000,5.388318,-80.176412,713.508424,5.405697,80.183263,-0.267071
2125.654374,688.000000,5.390216,-80.080345,713.518704,5.408089,80.087283,-0.278042
2125.673028,689.000000,5.392089,-79.984266,713.528902,5.410451,79.991290,-0.288930
2125.641317,690.000000,5.388947,-79.886382,713.523011,5.407084,79.893361,-0.283986
2125.577607,691.000000,5.382619,-79.787356,713.506898,5.400078,79.794207,-0.268983
2125.519447,692.000000,5.376843,-79.688533,713.492557,5.393702,79.695270,-0.255724
2125.496919,693.000000,5.374616,-79.590984,713.489597,5.391380,79.597700,-0.253664
2125.473435,694.000000,5.372293,-79.493403,713.486329,5.388949,79.500095,-0.251301
2125.500662,695.000000,5.375019,-79.397625,713.499257,5.392286,79.404426,-0.264877
2125.436440,696.000000,5.368640,-79.298597,713.482976,5.385221,79.305268,-0.249708
2125.391695,697.000000,5.364201,-79.200264,713.472915,5.380372,79.206856,-0.240660
2125.382534,698.000000,5.363304,-79.103194,713.474217,5.379570,79.109800,-0.242795
2125.374870,699.000000,5.362557,-79.006177,713.475997,5.378939,79.012801,-0.245399
2125.322522,700.000000,5.357361,-78.907581,713.463504,5.373225,78.914106,-0.233959
2125.239542,701.000000,5.349116,-78.807908,713.441229,5.364028,78.814254,-0.212891
2125.180384,702.000000,5.343243,-78.709080,713.426562,5.357540,78.715310,-0.199309
2125.183391,703.000000,5.343557,-78.612446,713.431744,5.358121,78.618721,-0.205262
2125.241739,704.000000,5.349380,-78.517755,713.454597,5.364996,78.524221,-0.228605
2125.302099,705.000000,5.355404,-78.423130,713.478093,5.372100,78.429791,-0.252581
2125.311770,706.000000,5.356381,-78.326720,713.485401,5.373440,78.333444,-0.260626
2125.289699,707.000000,5.354200,-78.229197,713.482570,5.371169,78.235901,-0.258693
2125.275890,708.000000,5.352840,-78.131963,713.482376,5.369838,78.138669,-0.259355
2125.287056,709.000000,5.353967,-78.035603,713.490157,5.371347,78.042375,-0.267866
2125.301575,710.000000,5.355428,-77.939358,713.499008,5.373238,77.946206,-0.277429
2125.285874,711.000000,5.353880,-77.842057,713.498207,5.371692,77.848901,-0.277493
2125.250126,712.000000,5.350337,-77.744058,713.491002,5.367865,77.750847,-0.271256
2125.220255,713.000000,5.347378,-77.646266,713.485673,5.364707,77.653015,-0.266864
2125.194747,714.000000,5.344855,-77.548627,713.481736,5.362045,77.555347,-0.263842
2125.159030,715.000000,5.341315,-77.450635,713.474537,5.358223,77.457300,-0.257611
2125.122430,716.000000,5.337687,-77.352615,713.467056,5.354300,77.359222,-0.251101
2125.104997,717.000000,5.335967,-77.255260,713.465695,5.352556,77.261859,-0.250615
2125.121634,718.000000,5.337638,-77.159083,713.475212,5.354687,77.165763,-0.260834
2125.145185,719.000000,5.339998,-77.063143,713.486937,5.357604,77.069921,-0.273225
2125.129593,720.000000,5.338461,-76.965850,713.486160,5.356070,76.972625,-0.273313
2125.069836,721.000000,5.332528,-76.867037,713.471277,5.349513,76.873694,-0.259520
2124.998186,722.000000,5.325413,-76.767819,713.452596,5.341604,76.774327,-0.241988
2124.968326,723.000000,5.322456,-76.670042,713.447260,5.338448,76.676509,-0.237589
2124.998549,724.000000,5.325479,-76.574327,713.461108,5.342123,76.580910,-0.252070
2125.044118,725.000000,5.330030,-76.479133,713.479857,5.347543,76.485873,-0.271374
2125.064605,726.000000,5.332084,-76.383077,713.490595,5.350112,76.389908,-0.282794
2125.040061,727.000000,5.329657,-76.285480,713.486950,5.347559,76.292284,-0.280060
2125.001881,728.000000,5.325872,-76.187418,713.478950,5.343456,76.194161,-0.273039
2124.979951,729.000000,5.323705,-76.089913,713.476139,5.341200,76.096636,-0.271125
2124.967586,730.000000,5.322489,-75.992734,713.476381,5.340033,75.999462,-0.272216
2124.954998,731.000000,5.321252,-75.895548,713.476550,5.338840,75.902281,-0.273235
2124.936836,732.000000,5.319459,-75.798173,713.474938,5.337013,75.804895,-0.272501
2124.916620,733.000000,5.317463,-75.700728,713.472669,5.334952,75.707436,-0.271121
2124.899419,734.000000,5.315766,-75.603387,713.471362,5.333234,75.610087,-0.270687
2124.890693,735.000000,5.314913,-75.506332,713.472760,5.332480,75.513047,-0.272915
2124.892701,736.000000,5.315128,-75.409640,713.477585,5.332947,75.416398,-0.278516
2124.891371,737.000000,5.315011,-75.312834,713.481342,5.333034,75.319626,-0.283066
2124.864390,738.000000,5.312341,-75.215164,713.476907,5.330204,75.221922,-0.279554
2124.818261,739.000000,5.307766,-75.116850,713.466356,5.325196,75.123526,-0.270022
2124.785232,740.000000,5.304494,-75.018980,713.459988,5.321679,75.025607,-0.264607
2124.781161,741.000000,5.304105,-74.922083,713.462865,5.321454,74.928737,-0.268291
2124.794616,742.000000,5.305459,-74.825773,713.471338,5.323221,74.832499,-0.277482
2124.795767,743.000000,5.305589,-74.729049,713.475881,5.323590,74.735816,-0.282805
