u,y_ref_observed_px,y_ref_short_gap_px,y_ref_smooth_px,sigma_ref_px,valid_fraction,valid_frame_count,fwhm_p50_px,source
356,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
357,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
358,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
359,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
360,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
361,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
362,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
363,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
364,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
365,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
366,NaN,NaN,NaN,NaN,0.44,22,NaN,outside_reference_surface
367,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
