bin_width_px,v_start_px,v_end_px,v_center_px,model,frame027_point_count,original_status,leave027_status,original_point_count,leave027_point_count,original_unique_frame_count,leave027_unique_frame_count,original_u_ref_px,leave027_u_ref_px,original_b_mm,leave027_b_mm,delta_b_leave_minus_original_mm,original_delta_g_mm_per_px,leave027_delta_g_mm_per_px,delta_g_leave_minus_original_mm_per_px,original_weighted_rmse_mm,leave027_weighted_rmse_mm
30,2640,2670,2655.0,M_local_fullfit,0,ok,ok,87,87,9,9,2016.2741037791595,2016.2741037791595,-0.005519943119654602,-0.005519943119654602,0.0,-0.0004471689738940719,-0.0004471689738940719,0.0,0.03852407555905953,0.03852407555905953
30,2670,2700,2685.0,M0,0,ok,ok,80,80,8,8,2001.6153580014425,2001.6153580014425,-0.05444158486972428,-0.05444158486972428,0.0,-0.000871063066791539,-0.000871063066791539,0.0,0.045501997644956715,0.045501997644956715
30,2670,2700,2685.0,M_local_fullfit,0,ok,ok,80,80,8,8,2001.6153580014425,2001.6153580014425,-0.02269734631979579,-0.02269734631979579,0.0,-0.0006211735427511945,-0.0006211735427511945,0.0,0.04583499366588057,0.04583499366588057
30,2700,2730,2715.0,M0,0,ok,ok,60,60,7,7,2021.8564420496275,2021.8564420496275,-0.10266719419296129,-0.10266719419296129,0.0,-0.0005935055904664074,-0.0005935055904664074,0.0,0.031988707509870117,0.031988707509870117
30,2700,2730,2715.0,M_local_fullfit,0,ok,ok,60,60,7,7,2021.8564420496275,2021.8564420496275,-0.06364289925298029,-0.06364289925298029,0.0,-0.000337227891859673,-0.000337227891859673,0.0,0.03197276597797989,0.03197276597797989
30,2730,2760,2745.0,M0,0,ok,ok,26,26,5,5,1984.440675831441,1984.440675831441,-0.1051594644392101,-0.1051594644392101,0.0,-0.0006127323999949385,-0.0006127323999949385,0.0,0.033803400866086845,0.033803400866086845
30,2730,2760,2745.0,M_local_fullfit,0,ok,ok,26,26,5,5,1984.440675831441,1984.440675831441,-0.07383345020921527,-0.07383345020921527,0.0,-0.0003420414051517763,-0.0003420414051517763,0.0,0.033609287438718015,0.033609287438718015
30,2760,2790,2775.0,M0,0,ok,ok,20,20,2,2,2048.841615655598,2048.841615655598,-0.13345570432344572,-0.13345570432344572,0.0,-0.0010084844550674273,-0.0010084844550674273,0.0,0.015587467467041852,0.015587467467041852
30,2760,2790,2775.0,M_local_fullfit,0,ok,ok,20,20,2,2,2048.841615655598,2048.841615655598,-0.0823801529411177,-0.0823801529411177,0.0,-0.0007240959492669292,-0.0007240959492669292,0.0,0.015218555240250044,0.015218555240250044
30,2790,2820,2805.0,M0,0,insufficient_frames,insufficient_frames,18,18,1,1,2031.1785409396266,2031.1785409396266,nan,nan,nan,nan,nan,nan,nan,nan
30,2790,2820,2805.0,M_local_fullfit,0,insufficient_frames,insufficient_frames,18,18,1,1,2031.1785409396266,2031.1785409396266,nan,nan,nan,nan,nan,nan,nan,nan
30,2820,2850,2835.0,M0,0,insufficient_frames,insufficient_frames,17,17,1,1,2034.203520568591,2034.203520568591,nan,nan,nan,nan,nan,nan,nan,nan
30,2820,2850,2835.0,M_local_fullfit,0,insufficient_frames,insufficient_frames,17,17,1,1,2034.203520568591,2034.203520568591,nan,nan,nan,nan,nan,nan,nan,nan
30,2850,2880,2865.0,M0,0,insufficient_frames,insufficient_frames,15,15,1,1,2037.1272960291676,2037.1272960291676,nan,nan,nan,nan,nan,nan,nan,nan
30,2850,2880,2865.0,M_local_fullfit,0,insufficient_frames,insufficient_frames,15,15,1,1,2037.1272960291676,2037.1272960291676,nan,nan,nan,nan,nan,nan,nan,nan
30,2880,2910,2895.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2880,2910,2895.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
