model,v_bin,v_bin_lo_px,v_bin_hi_px,point_count,unique_frame_count,fold_count,frame_ids,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,mean_frame_rmse_mm,std_frame_rmse_mm,mean_fold_rmse_mm,std_fold_rmse_mm,selection_score,selection_rank
global_plane,v_1100_1200,1100.0,1200.0,1262,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1262,1.0,0.2498614785014699,0.24989902581284573,0.2624226172850363,0.36271154886718476,0.6805890315936267,0.26201123931237585,0.07340048111925743,0.2586886015299084,0.043185357020790655,1.0,3
global_plane,v_1200_1300,1200.0,1300.0,1469,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1469,1.0,0.32503341759014415,0.32503341759014415,0.33493892712361434,0.43013075428650605,0.6640068373395707,0.32308968830163354,0.07093181678076618,0.3300559232646692,0.0551305944300683,1.0,3
global_plane,v_1300_1400,1300.0,1400.0,1602,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1602,1.0,0.33366657477524175,0.33366657477524175,0.3469112603238495,0.4738274448014848,0.6990930540503086,0.32936472097054703,0.07571977542596793,0.3405266011610921,0.058951302114527135,1.0,3
global_plane,v_1400_1500,1400.0,1500.0,1593,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1593,1.0,0.32199382627128204,0.32199382627128204,0.334651801734144,0.4211531120418157,0.7592631089181623,0.3216492843852273,0.08345912809616242,0.33134070893718026,0.058882802284384306,1.0,3
global_plane,v_1500_1600,1500.0,1600.0,1539,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1539,1.0,0.284396317045797,0.284396317045797,0.2964593348155902,0.38267809081039555,0.7733737637863669,0.29368504932121486,0.08683585040003487,0.29450505805968924,0.03255572733997657,1.0,3
global_plane,v_1600_1700,1600.0,1700.0,1493,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1493,1.0,0.22802605051135508,0.22895044153412872,0.2594052578398554,0.38062985823257695,0.7571487325448061,0.23724320430824758,0.10094900479193698,0.2462735733978525,0.07017672068079485,1.0,3
global_plane,v_1700_1800,1700.0,1800.0,1464,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1464,1.0,0.21479548995177694,0.21479548995177694,0.25396848886644896,0.6782414181753268,0.7380137227096384,0.2089901697982784,0.10774325985529408,0.2296480074406392,0.08787039016310619,1.0,3
global_plane,v_1800_1900,1800.0,1900.0,1342,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1342,1.0,0.18249185208819851,0.18273053894943844,0.20873898276795455,0.3002402938845933,0.7872947428007819,0.1899068561545617,0.11324310905889474,0.20023042649945844,0.059075725138898395,1.0,3
global_plane,v_1900_2000,1900.0,2000.0,1253,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1253,1.0,0.12282870980180202,0.12652417337870836,0.14442627344351072,0.23432125316001018,0.7308941157584741,0.14079624256237533,0.11588629570520077,0.13922985827983989,0.030368979164975947,1.0,3
global_plane,v_2000_2100,2000.0,2100.0,1126,30,6,"001,002,003,004,005,006,008,009,010,011,012,013,016,017,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051,053",1126,1.0,0.0489514945511023,0.08721769230812418,0.10346304665038174,0.1766829117009081,0.3637407020161163,0.09951447924874987,0.041636367853145506,0.10524390026075466,0.01251872546237231,1.0,3
