scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,23,v_2300_2400,2300.0,2400.0,948,24,0.02865424048695976,0.07425636347274955,0.12459930636674607,0.28110763795670496,0.5353196154493659
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,24,v_2400_2500,2400.0,2500.0,1089,24,0.040981217095683475,0.07092171908876889,0.15167352912656976,0.2213875071130865,0.22329996425787366
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,25,v_2500_2600,2500.0,2600.0,813,24,0.03140270951466892,0.06804436815001723,0.1384645910334219,0.18720903546462384,0.26861965544459443
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,26,v_2600_2700,2600.0,2700.0,441,20,0.026789746277621655,0.06483042064848955,0.14345313833064918,0.20155278702830642,0.2330286461573151
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,27,v_2700_2800,2700.0,2800.0,541,18,-0.009435238397068932,0.07138094003920527,0.14245775535729868,0.2172236561601555,0.36301493207863544
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,28,v_2800_2900,2800.0,2900.0,580,15,-0.030183486626611376,0.05492322953249398,0.09598774034496595,0.15880862267777526,0.21581226998613207
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,29,v_2900_3000,2900.0,3000.0,345,11,-0.016066665760012068,0.054199399277564855,0.10099001905844604,0.1528743655722464,0.28869913450505236
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,0,v_0000_0100,0.0,100.0,323,11,0.16476217503504978,0.18033925181398608,0.2602972413815707,0.3044477107114174,0.3373106132157772
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,1,v_0100_0200,100.0,200.0,601,17,0.13771711709154807,0.1705776092900896,0.2665020392163158,0.3941941110609575,0.4448776126135954
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,2,v_0200_0300,200.0,300.0,844,21,0.11007768765162163,0.14656033512301353,0.2410657658112595,0.3970185409625679,0.535807286652016
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,3,v_0300_0400,300.0,400.0,905,25,0.07145279545511082,0.10651751294427098,0.22581787681514423,0.2549456981275956,0.3869675815252549
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,4,v_0400_0500,400.0,500.0,1012,29,0.005027721806745944,0.07342604081542962,0.1412935306861417,0.17866723437150897,0.3772132119063371
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,5,v_0500_0600,500.0,600.0,1289,29,-0.044388359307922,0.0785467618825244,0.15440857996511345,0.20106734613127256,0.3122956361038405
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,6,v_0600_0700,600.0,700.0,1351,30,-0.08567693270791993,0.10766158979238835,0.1860147916203058,0.22514277549980682,0.4185882320286964
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,7,v_0700_0800,700.0,800.0,999,30,-0.12491277380402704,0.1405729269609662,0.24403142926832996,0.2822292034436793,0.3994971550562241
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,8,v_0800_0900,800.0,900.0,1115,32,-0.10694387071586817,0.1268940752455344,0.2193176707426522,0.2684560379869735,0.2953863435844823
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,9,v_0900_1000,900.0,1000.0,1507,34,-0.06779056865376754,0.09123585448960068,0.15340259767853992,0.2009325417329118,0.2430311226028152
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,10,v_1000_1100,1000.0,1100.0,1517,35,-0.024342390527884897,0.06427056966209133,0.12446167895571689,0.18182908222753488,0.2417937506500038
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,11,v_1100_1200,1100.0,1200.0,1240,35,0.018843194846852512,0.06799602260629235,0.12659382705384675,0.19018124239855122,0.3532924597803912
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,12,v_1200_1300,1200.0,1300.0,1411,35,0.056891300219909055,0.07753848430601477,0.14642821047846505,0.17968294473493956,0.2460048666843022
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,13,v_1300_1400,1300.0,1400.0,1526,35,0.0478548727317413,0.07391307966796253,0.14055990371317767,0.1692212285862176,0.2274832003622577
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,14,v_1400_1500,1400.0,1500.0,1541,35,0.03665067832792672,0.0633122717347235,0.11964623884428481,0.15198879771269744,0.1977359249631263
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,15,v_1500_1600,1500.0,1600.0,1513,35,0.014384374060470145,0.06070328729358883,0.11719244572986062,0.20347483870810149,0.3018895950964406
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,16,v_1600_1700,1600.0,1700.0,1431,35,-0.02489741574120853,0.07043577214830873,0.13791800484986733,0.19131813633374525,0.3738442916552458
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,17,v_1700_1800,1700.0,1800.0,1388,35,-0.019402721702742556,0.06530791484490404,0.12938146376611212,0.16592481435976386,0.2135432868685711
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,18,v_1800_1900,1800.0,1900.0,1321,35,0.0036355636415660573,0.06612143094895712,0.1293390787024201,0.1701389290216191,0.2769109251321424
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,19,v_1900_2000,1900.0,2000.0,1252,35,0.002335278398032844,0.06375567993216165,0.1221677610318189,0.16978346924522475,0.2394272345853778
