split,bin_width_px,v_start,v_end,v_center,point_count,unique_frame_count,frame_ids,u_min,u_max,u_span,frame_median_u_span,lambda_min,lambda_max,lambda_span,frame_median_lambda_span,board_depth_span,slope_dlambda_du,slope_intercept,robust_RMSE,corr_u_lambda,local_design_condition_number,quadratic_coefficient,quadratic_linear_coefficient,quadratic_intercept,quadratic_RMSE,linear_quadratic_RMSE_ratio,slope_p05,slope_p50,slope_p95,slope_relative_interval,m0_local_gain_dlambda_du,m0_point_derivative_median,m0_derivative_u_trend_slope,m0_derivative_u_trend_RMSE,m0_derivative_u_trend_corr,m0_derivative_u_trend_condition_number,truth_slope_minus_m0_local_gain,truth_slope_to_m0_local_gain_ratio,m0_gain_step_px,classification,task2_support_300px_region,task2_support_point_count,task2_support_unique_frame_count,task2_support_lambda_span
fit,30,300,330,315,99,9,"004,007,014,015,018,025,028,029,030",1807.28556976,2131.10354481,323.817975048,323.343855369,623.323017331,713.651823806,90.3288064748,90.1603708551,61.19059997,0.287079757407,101.05924347,1.30230802309,0.999443655876,135.732634345,0.000114404810082,0.3000362021,692.613540401,0.0779691036561,16.7028728307,0.273776277879,0.286564345657,0.302650243554,0.100759100401,0.301190467983,0.301190467983,0.000251168069054,0.00109472239748,0.999218100235,98.6413570397,-0.0141107105759,0.953150208669,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,330,360,345,125,9,"004,007,014,015,018,025,028,029,030",1810.89135616,2130.65636973,319.765013575,318.527316935,624.216281802,713.625986928,89.4097051258,88.9835583594,61.19059997,0.287348418309,100.533825226,1.28456445915,0.999458043241,133.381968052,0.000115981775979,0.300069716097,692.247578624,0.0454806338635,28.2442074797,0.27488860433,0.285612348479,0.302574175093,0.0969340818457,0.301828564138,0.301828564138,0.00025102148063,0.00108298824169,0.999211471331,98.1077122058,-0.0144801458291,0.952025263512,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,360,390,375,149,11,"004,007,009,014,015,018,025,027,028,029,030",1813.83802004,2130.31656217,316.478542134,315.105230428,625.204415972,713.599838282,88.3954223099,88.1558267884,61.19059997,0.283586201063,108.541519391,0.993866704464,0.999593030479,143.223464512,0.000114133114346,0.299482226354,691.664003244,0.055601204035,17.8749133533,0.2749567688,0.28359854055,0.302747959205,0.097994828715,0.31035927748,0.31035927748,0.000245334590772,0.00133532096384,0.998998273803,120.449915854,-0.0267730764169,0.913735214767,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,390,420,405,180,15,"003,004,007,009,010,011,014,015,017,018,025,027,028,029,030",1817.15342826,2129.75572038,312.602292125,311.407736343,626.198460304,713.572580843,87.374120539,87.1855676998,61.19059997,0.283736734652,108.337856597,1.03319018075,0.999514793576,129.959904391,0.000118290870198,0.296720841427,687.258934672,0.0575826716354,17.942727411,0.275774006939,0.282816353256,0.296304407696,0.0725926931747,0.299911381072,0.299911381072,0.000244545472415,0.00135630034504,0.99891481676,117.151719059,-0.0161746464205,0.946068580783,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,420,450,435,200,16,"003,004,007,009,010,011,014,015,017,018,025,026,027,028,029,030",1797.29414176,2129.39674675,332.10260499,330.114163435,621.296453731,713.54700358,92.2505498485,91.8483712329,61.19059997,0.280878773398,114.138778699,1.0187029009,0.999501845123,123.306933687,0.000116232473041,0.291019334188,679.911492753,0.0875906234108,11.6302734383,0.27310650481,0.281113735722,0.293971212132,0.0742215860376,0.298639173632,0.298639173632,0.000244534421102,0.00127847334859,0.998940515128,114.147027401,-0.0177604002341,0.940528899749,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,450,480,465,259,17,"003,004,005,007,009,010,011,014,015,017,018,025,026,027,028,029,030",1800.04364415,2128.91176414,328.868119991,326.853755085,621.923325367,713.521659599,91.5983342313,91.1909981529,61.19059997,0.280270935205,115.024146114,1.02197710369,0.999497563608,109.080802339,0.000113640435672,0.28474769169,672.626597624,0.0652697549771,15.6577438363,0.272263298229,0.280262614348,0.289857814116,0.062778676092,0.298995670654,0.298995670654,0.000243285222961,0.00115781544581,0.998973306202,113.702357809,-0.0187247354484,0.937374559948,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,480,510,495,283,17,"003,004,005,007,009,010,011,014,015,017,018,025,026,027,028,029,030",1803.54107991,2128.29567451,324.754594602,323.672596039,622.738904477,713.494740833,90.7558363555,90.3785167698,61.19059997,0.280305733783,115.088606527,1.00944051955,0.99948413574,107.58327676,0.000116501887414,0.284700331264,672.528624075,0.0548602184153,18.4002278648,0.271541399606,0.280209488128,0.290645553082,0.068178110612,0.296406911768,0.296406911768,0.000243462709264,0.00112751987772,0.998985715973,112.732515683,-0.0161011779856,0.94567880388,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,510,540,525,311,19,"003,004,005,007,009,010,011,014,015,016,017,018,025,026,027,028,029,030,034",1805.73332766,2127.96165813,322.228330473,320.066987424,623.497593148,713.469676426,89.9720832781,89.5869191759,61.19059997,0.281912532744,112.193090923,0.932358855825,0.9994933478,101.854714423,0.000114094938059,0.284604834079,672.49166956,0.0714410290561,13.0507478426,0.274289211411,0.281912532744,0.292594681947,0.0649331562446,0.296348149085,0.296348149085,0.000240381153652,0.00112654774059,0.99891009084,99.7723194342,-0.0144356163414,0.951288319546,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,540,570,555,345,22,"003,004,005,007,008,009,010,011,014,015,016,017,018,025,026,027,028,029,030,032,033,034",1808.78218589,2127.46340302,318.681217136,317.345261551,624.287208852,713.442131165,89.1549223126,88.7757920623,61.19059997,0.284805356569,106.274263973,1.06216251166,0.999410056412,103.72257977,0.000118112723743,0.290971608695,680.356826688,0.053331544456,19.9162151123,0.276126932944,0.28390201605,0.295143900512,0.0669842639097,0.296348570859,0.296348570859,0.000244894285318,0.0012362377841,0.998791434112,103.918523814,-0.0115432142897,0.961048523851,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
fit,30,570,600,585,358,23,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,032,033,034",1811.29394372,2126.95449123,315.660547506,314.196615418,625.074197172,713.431952729,88.3577555571,87.9831406378,63.593293018,0.286324404158,103.393901099,1.0808361927,0.999404087669,109.281627364,0.000118337058971,0.29451262968,684.749157462,0.0485108774501,22.2802853609,0.277617699432,0.286324404158,0.295548863769,0.0626253441078,0.296283714023,0.296283714023,0.000246164444812,0.00124079154171,0.998770682917,100.529723269,-0.00995930986488,0.966385901778,0.5,WELL_CONSTRAINED,bin_0300_0599,2309,23,92.3553700744
