variant,mask,model,region,v_bin_lo_px,v_bin_hi_px,point_count,frame_count,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,surface_rmse_mm,ray_rmse_mm
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0200_0300,200.0,300.0,543,12,543,1.0,0.08583121656377227,0.10333001264874633,0.11941496705263586,0.1958594351007832,0.3933673594743823,0.03710210654637656,0.12394907039077592
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0300_0400,300.0,400.0,573,14,573,1.0,0.04995170096238708,0.07033819497816025,0.08374325395903934,0.14387587681208056,0.3168851065444187,0.025866288836297997,0.08580174086948233
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0400_0500,400.0,500.0,516,14,516,1.0,-0.0018936798229161951,0.04201742077707744,0.05579108958252565,0.11895072100753623,0.17725679336865596,0.016973574320255366,0.05644023647163543
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0500_0600,500.0,600.0,562,14,562,1.0,-0.04417973814075219,0.05344272782550835,0.06823473455149108,0.1487665762631593,0.19911089530694426,0.020753753008424053,0.0694427380479106
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0600_0700,600.0,700.0,706,15,706,1.0,-0.08839133274487862,0.08996200177692454,0.10351591481860813,0.1805431238784081,0.23220263759924364,0.03171676876994946,0.10559033711126133
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0700_0800,700.0,800.0,645,15,645,1.0,-0.11715000202578853,0.11765224703228779,0.1276510099484127,0.20466715052962164,0.2675832600518788,0.03902415426074392,0.12999082173125157
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0800_0900,800.0,900.0,629,17,629,1.0,-0.09858845800030559,0.09943669548016551,0.11143433793480458,0.18327605098036204,0.29015247926122356,0.03393835444383315,0.1134245160226326
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0900_1000,900.0,1000.0,812,18,812,1.0,-0.05064683301344712,0.06123986705138316,0.07530471098232591,0.13549982655928822,0.19636959580952862,0.023274091740999852,0.07747849577222761
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1000_1100,1000.0,1100.0,805,18,805,1.0,-0.010917467845251426,0.04560322253771447,0.055805975484916774,0.10567518882803592,0.222254366573452,0.017149481508011093,0.05713435206196355
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1100_1200,1100.0,1200.0,723,18,723,1.0,0.032618770775101835,0.05718469693500493,0.07238149993833025,0.12754482881073273,0.3369873559638563,0.022579736488452618,0.07466354300204235
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1200_1300,1200.0,1300.0,874,18,874,1.0,0.0747773518373205,0.07586077774974037,0.08674620065477086,0.14859581203764935,0.22182726449887014,0.026752377705873204,0.08882512822011347
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1300_1400,1300.0,1400.0,840,18,840,1.0,0.06132634255186951,0.07039280029619982,0.08303652635008069,0.14846162237026872,0.22807715678766272,0.0257138309984537,0.08545034576802618
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1400_1500,1400.0,1500.0,753,18,753,1.0,0.05065961262408814,0.0619362196265835,0.07233737934383848,0.13007762202200865,0.19905876177085702,0.022502628281801197,0.07418033153326141
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1500_1600,1500.0,1600.0,846,18,846,1.0,0.02153036202481206,0.05080645145952223,0.0646082542823,0.10874855352082591,0.30178099368504263,0.019878003220468832,0.06576998865513012
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1600_1700,1600.0,1700.0,891,18,891,1.0,-0.032331372546321846,0.05474956438608595,0.06862642504469281,0.13527783560192574,0.22981469409421607,0.021216529496567337,0.06992444439477809
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1700_1800,1700.0,1800.0,782,18,782,1.0,-0.02699887955864354,0.05268834337298495,0.06583761235509757,0.13430489721592948,0.2262900642490422,0.020472799369803247,0.06717779769691276
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1800_1900,1800.0,1900.0,660,18,660,1.0,0.004995074519736894,0.05362417636760339,0.06475741122156532,0.12110266968838912,0.18963749680744968,0.020486918494081848,0.06673689723466762
new,new_full_board_physical_inset_0mm,quadratic_graph,v_1900_2000,1900.0,2000.0,677,18,677,1.0,0.006270565556346481,0.04989471916532705,0.06192903621049273,0.12287608629380879,0.22987390749574388,0.019390872447542087,0.06349306654772324
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2000_2100,2000.0,2100.0,635,15,635,1.0,0.0006581488691066209,0.05530488083885252,0.06671457498459908,0.1350080390229208,0.21018014165031218,0.020862052186995758,0.0683979198786804
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2100_2200,2100.0,2200.0,368,11,368,1.0,0.015883734358011305,0.05479748283074222,0.06604784747178374,0.11212463345420355,0.22923393663086244,0.020691107993342513,0.06855722260566402
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2200_2300,2200.0,2300.0,299,9,299,1.0,0.012376173185861716,0.06482202234986899,0.08306373720305991,0.17061225413426634,0.31538821436447506,0.025503596718092936,0.08508955806288424
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2300_2400,2300.0,2400.0,390,10,390,1.0,0.009668856035238186,0.0418110127580366,0.05035448686057869,0.09325537119202064,0.13174674554124977,0.01578279592990246,0.051881849714934626
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2400_2500,2400.0,2500.0,469,10,469,1.0,0.01491215734635914,0.04649882565752396,0.05386280540928701,0.09240865629110427,0.1694637645939565,0.017048481494586615,0.05571297547316738
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2500_2600,2500.0,2600.0,372,10,372,1.0,0.016955240145774136,0.048105653586727665,0.06036888169205183,0.11606275556334822,0.1869532106193219,0.019331782878772717,0.06448673615453755
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2600_2700,2600.0,2700.0,176,8,176,1.0,0.006569167461216032,0.048287039370357186,0.059254648513208406,0.10666763953923919,0.23288597267776368,0.01883921216725902,0.0628609394001013
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2700_2800,2700.0,2800.0,186,7,186,1.0,-0.09450306115326157,0.10286209040194103,0.11161496769715866,0.1698561300187862,0.22445111421961883,0.03421924858231691,0.1129207502279513
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2800_2900,2800.0,2900.0,131,5,131,1.0,-0.14098775848652667,0.14098775848652667,0.14706037957340734,0.21302071246685728,0.25175146721937836,0.04487345562558298,0.14894898996448325
new,new_full_board_physical_inset_0mm,quadratic_graph,v_2900_3000,2900.0,3000.0,28,1,28,1.0,-0.14710975462761308,0.14710975462761308,0.15183016430082538,0.2031766172869879,0.2204984722872041,0.04837861912919747,0.15386594009909113
old,old_inner_hull_margin_-2px,circular_cone,Global,0.0,3000.0,16102,18,16102,1.0,-0.0009158741129888442,0.05856820847989976,0.0740966193426796,0.14034549694699755,0.5668801895853903,0.022887872182548764,0.07571766069320318
old,old_inner_hull_margin_-2px,circular_cone,v_0000_0100,0.0,100.0,0,0,0,,,,,,,,
old,old_inner_hull_margin_-2px,circular_cone,v_0100_0200,100.0,200.0,0,0,0,,,,,,,,
old,old_inner_hull_margin_-2px,circular_cone,v_0200_0300,200.0,300.0,57,4,57,1.0,0.20086198873892708,0.20086198873892708,0.23882406497825356,0.45886492704366877,0.5134483758902206,0.07622909623010501,0.24542813208035189
old,old_inner_hull_margin_-2px,circular_cone,v_0300_0400,300.0,400.0,299,8,299,1.0,0.11981224197081039,0.12322656234346065,0.147032871426293,0.28548061519127205,0.4247006368792654,0.0461406617869818,0.14998831110249766
old,old_inner_hull_margin_-2px,circular_cone,v_0400_0500,400.0,500.0,539,11,539,1.0,0.04331746018628057,0.06086792411171425,0.07095866302894718,0.13023540383034057,0.2133994856839081,0.021970942986364487,0.07253195017900584
old,old_inner_hull_margin_-2px,circular_cone,v_0500_0600,500.0,600.0,644,14,644,1.0,-0.003615332089188657,0.04195720950651557,0.05758849516716362,0.11145290558835087,0.45089570017262304,0.017578472401862305,0.05882701494331324
old,old_inner_hull_margin_-2px,circular_cone,v_0600_0700,600.0,700.0,837,14,837,1.0,-0.05099963832424712,0.058004156206517506,0.0719040626805296,0.14540579559845804,0.24220013057254164,0.02186866600309035,0.073020058423235
old,old_inner_hull_margin_-2px,circular_cone,v_0700_0800,700.0,800.0,740,14,740,1.0,-0.08535496296607811,0.08694211718389541,0.09707451756175105,0.16688978929389572,0.23239718582840396,0.02960913847002978,0.09873923315632772
old,old_inner_hull_margin_-2px,circular_cone,v_0800_0900,800.0,900.0,720,15,720,1.0,-0.0747282766487416,0.07700186483944992,0.08866873090043198,0.1569533594935478,0.2715306741134782,0.02679092502323224,0.08985357568949022
old,old_inner_hull_margin_-2px,circular_cone,v_0900_1000,900.0,1000.0,788,15,788,1.0,-0.036286069932734956,0.051843527633739714,0.06414857870637608,0.12261798715492203,0.21349813903691484,0.019491699498330767,0.06518136683084703
old,old_inner_hull_margin_-2px,circular_cone,v_1000_1100,1000.0,1100.0,788,17,788,1.0,-0.0007858494314186967,0.04270373550876894,0.05310262688307955,0.10163162773761769,0.20568114129184778,0.016169891982299407,0.053918947109028864
old,old_inner_hull_margin_-2px,circular_cone,v_1100_1200,1100.0,1200.0,881,18,881,1.0,0.036179159462064785,0.05645515861862988,0.07335861234560494,0.12897910312187832,0.5668801895853903,0.022757166564814187,0.07552155005068426
old,old_inner_hull_margin_-2px,circular_cone,v_1200_1300,1200.0,1300.0,1083,18,1083,1.0,0.07162960525409957,0.07304144870698115,0.08415109871323695,0.15086923374248043,0.22139571403261016,0.0258989473534183,0.08612780774880284
old,old_inner_hull_margin_-2px,circular_cone,v_1300_1400,1300.0,1400.0,1029,18,1029,1.0,0.053483333502439154,0.06442830170936517,0.07824401668776916,0.1398362802459359,0.23048575757024992,0.02414229871676909,0.0804754541390523
old,old_inner_hull_margin_-2px,circular_cone,v_1400_1500,1400.0,1500.0,936,18,936,1.0,0.039864186817504886,0.05447944171022556,0.06422300595105783,0.1166877988765691,0.1757820024955663,0.019896443154925215,0.06587569335732565
old,old_inner_hull_margin_-2px,circular_cone,v_1500_1600,1500.0,1600.0,1048,18,1048,1.0,0.007908076347794538,0.04623105094168045,0.06091050356303046,0.11505236963437254,0.2889897556866572,0.018672923707124648,0.06189377577241847
