split,weighting,region,v_min_px,v_max_px,baseline_sample_count,analysis_sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_energy,explained_fraction
fit,v_region_equal,bin_1200_1499,1200,1500,1490,1490,0,-0.00496585226374,0.0602185663041,0.071186242252,0.125502174831,8.90052377939,0.000681734105481,0.0142046347838,0.0176720759644,0.0390925153328,0.548527705081,8.35199607431,0.938371300535
fit,v_region_equal,bin_1500_1799,1500,1800,1945,1945,0,-0.0935593562295,0.0997221105906,0.118154058019,0.20446276614,24.5200139373,0.00106759838655,0.0149536364135,0.017862102618,0.0340193264622,0.56038769253,23.9596262448,0.977145702528
fit,v_region_equal,bin_1800_2099,1800,2100,1732,1732,0,-0.0705829132632,0.0782106456986,0.0954708148369,0.17466533717,16.0090177794,0.000402897261962,0.0161641532753,0.0182847519038,0.0300813966994,0.587220992094,15.4217967873,0.963319361613
fit,v_region_equal,bin_2100_2399,2100,2400,1561,1561,0,-0.105078562403,0.107941641103,0.123340201836,0.223774725707,26.719771385,-0.000874270933957,0.0182756913198,0.0203005438918,0.03721023244,0.723833661359,25.9959377236,0.972910185086
fit,v_region_equal,bin_2400_2699,2400,2700,1759,1759,0,-0.10925695652,0.121697354357,0.140560508402,0.242342571352,34.7016453557,-0.00136720781966,0.0203736084003,0.0228804069444,0.0459151229893,0.91949827174,33.7821470839,0.973502747137
fit,v_region_equal,bin_2700_2999,2700,3000,1980,1980,0,-0.16082211758,0.285722516962,0.302005869544,0.419320640496,160.196932458,0.00113085457758,0.0224477473739,0.025688113487,0.0518760082006,1.15901178213,159.037920676,0.992765081301
fit,v_region_equal,extrap_top_v_lt_242,0,241.997693497,1141,1141,0,0.310697812626,0.322846891336,0.396769748752,0.716922558465,174.002008827,-0.00100941048006,0.0207812191698,0.0284161396339,0.0600631111306,0.892498127472,173.109510699,0.994870759634
fit,v_region_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,1784,0,-0.193657385766,0.289713215891,0.307258672468,0.424236186474,143.907134949,0.000539335200971,0.0224229878247,0.0260341304166,0.0519000406605,1.03314238608,142.873992563,0.992820770239
validation,point_equal,top_0_299,0,300,684,684,0,0.102660809683,0.142998920229,0.247128786964,0.580964987443,41.773683945,0.044809649717,0.044809649717,0.0476362873889,0.071250768132,1.55214365932,40.2215402857,0.962843984233
validation,point_equal,middle_300_2699,300,2700,4734,4734,0,-0.139126690826,0.139379425489,0.154150241014,0.259735281301,112.490713074,0.0229238525594,0.0318019131596,0.0340613437809,0.0461089653756,5.49226911353,106.99844396,0.951175799642
validation,point_equal,bottom_2700_2999,2700,3000,631,631,0,-0.16103678896,0.284423823118,0.297654034991,0.422421954237,55.9052903887,-2.28878750574e-06,0.0424141264154,0.0435311749022,0.0581321763726,1.19572177186,54.7095686168,0.978611652608
validation,point_equal,bin_0000_0299,0,300,684,684,0,0.102660809683,0.142998920229,0.247128786964,0.580964987443,41.773683945,0.044809649717,0.044809649717,0.0476362873889,0.071250768132,1.55214365932,40.2215402857,0.962843984233
validation,point_equal,bin_0300_0599,300,600,531,531,0,-0.113957095026,0.114402734914,0.128397672428,0.22332631271,8.75404597328,0.0441175603999,0.0441175603999,0.0450471875873,0.0582826174853,1.07753127716,7.67651469612,0.876910484541
validation,point_equal,bin_0600_0899,600,900,542,542,0,-0.248451633957,0.248451633957,0.250960465652,0.310348064505,34.1357861835,0.037696533057,0.037696533057,0.0380558854751,0.0455391571107,0.784951727256,33.3508344563,0.977005019804
validation,point_equal,bin_0900_1199,900,1200,555,555,0,-0.157608707261,0.157608707261,0.165898754157,0.22632611725,15.2749301302,0.0325975304105,0.0325975304105,0.0329886039589,0.0420728586847,0.603977635091,14.6709524951,0.960459548427
validation,point_equal,bin_1200_1499,1200,1500,568,568,0,-0.0703383044839,0.0703383044839,0.0780689750126,0.134151039196,3.46182644021,0.028659448205,0.028659448205,0.031014230605,0.0428273510455,0.546349260013,2.9154771802,0.842178899073
