bin_width_px,v_start_px,v_end_px,v_center_px,model,point_count,unique_frame_count,u_ref_px,u_span_px,residual_span_mm,status,b_mm,delta_g_mm_per_px,b_p05_mm,b_p50_mm,b_p95_mm,delta_g_p05_mm_per_px,delta_g_p50_mm_per_px,delta_g_p95_mm_per_px,bootstrap_count,weighted_rmse_mm,weighted_r2,fit_mae_mm,fit_rmse_mm,fit_p95_mm
30,870,900,885.0,M0,400,27,2026.5054227913615,282.639631337981,0.4518989902157955,ok,-0.07452189267006254,-0.00012751831697188734,-0.09157055684997575,-0.07506292969138115,-0.05667705641874389,-0.00034498785494224297,-0.00012634989090129148,0.0001038486327099433,1000,0.06813831712256682,0.025683775088889638,0.05209491306439376,0.07111514889808271,0.16015095181773792
30,870,900,885.0,M_local_fullfit,400,27,2026.5054227913615,282.639631337981,0.45595697852934336,ok,-0.07020443850542049,-0.00016829175687131697,-0.08629713675620643,-0.06983861955726409,-0.05367994294305232,-0.0004097273204187172,-0.00016532156883342997,5.327473076924297e-05,1000,0.06812342673170688,0.043916249112735395,0.052061617223781796,0.07108712520556282,0.15991013642609386
30,900,930,915.0,M0,424,27,2024.5045945496813,279.3542413449818,0.38290523671309984,ok,-0.06816001124478115,-5.638656384445724e-05,-0.08300000932029573,-0.06843534820481306,-0.05087920991048664,-0.0003191503257045589,-6.716838389050874e-05,0.00015043350599369416,1000,0.06224768439496966,0.006005712270224062,0.04790100438886322,0.06676010503159516,0.16456024645969913
30,900,930,915.0,M_local_fullfit,424,27,2024.5045945496813,279.3542413449818,0.3845436427944833,ok,-0.06430401866201516,-9.689986592129419e-05,-0.08083734318104396,-0.06456362259779055,-0.04906482917954643,-0.000330459997965741,-8.711891128861414e-05,0.00010712895848226585,1000,0.06226623323277498,0.0175202597962848,0.04790726085348819,0.06676831222361572,0.16466685739568188
30,930,960,945.0,M0,413,27,2022.5464454861453,276.0338584498061,0.38452018548355227,ok,-0.04831466971283405,-3.127085010292726e-05,-0.06611794471901467,-0.04797677012875162,-0.02946010232638919,-0.0003637809382729847,-5.43865517256202e-05,0.00023785653058243112,1000,0.06905840248240643,0.0014757431095501206,0.05689684940428196,0.07461088398814447,0.16778208766281832
30,930,960,945.0,M_local_fullfit,413,27,2022.5464454861453,276.0338584498061,0.386722388166163,ok,-0.044897278703170326,-7.117919519648371e-05,-0.06281138482007016,-0.044612402612174265,-0.025651497093904966,-0.0003635235942395906,-7.667149583472405e-05,0.0001873879293359128,1000,0.06905439662485167,0.00760004279841886,0.05687584691642568,0.0746078882229202,0.1678159582454527
30,960,990,975.0,M0,412,27,2020.6659360356985,272.34356607370864,0.43733845864460363,ok,-0.03974396927363834,3.1651794193727614e-05,-0.05698659008835647,-0.03978545220532394,-0.02141009710304329,-0.000313359629322733,2.6871831973668534e-05,0.0003086714139938535,1000,0.0726951303693033,0.0013346495896008337,0.05599196082309332,0.0771779061067436,0.19273247452011566
30,960,990,975.0,M_local_fullfit,412,27,2020.6659360356985,272.34356607370864,0.43440297537767947,ok,-0.03675631441156307,-7.523754377330618e-06,-0.054544423021332486,-0.03639311548582307,-0.01789396923871275,-0.00035357594329210444,-7.267864999395548e-06,0.0002670953851579954,1000,0.07271288983847655,7.547009184927234e-05,0.055991609687906306,0.07719139747914887,0.1926694144816536
30,990,1020,1005.0,M0,401,27,2018.7325394626237,269.05193845678104,0.4765328318169395,ok,-0.02634538888223226,-4.2972695767952795e-05,-0.044583289161050414,-0.027490712616759512,-0.006724512504908928,-0.00033221517462881875,-2.9704873796744896e-05,0.0002037299400175117,1000,0.07486479212400522,0.002265426733741749,0.057645301331479194,0.08468743703229185,0.2170874481038662
30,990,1020,1005.0,M_local_fullfit,401,27,2018.7325394626237,269.05193845678104,0.478548970662132,ok,-0.023762152539055698,-8.101465455655049e-05,-0.043136978856160364,-0.024709106318410577,-0.0025590511863075485,-0.00037334904164331155,-7.721511730754223e-05,0.00016082332646984865,1000,0.07485827396014955,0.008006842311604756,0.057613667118788466,0.08468718645414737,0.2172889027881243
30,1020,1050,1035.0,M0,402,27,2016.6424994459203,265.05169742996327,0.5496486575137851,ok,-0.00792288959628132,-3.5366556890494175e-05,-0.02671895427840747,-0.008786063669098579,0.013094770613684217,-0.00034710555673539423,-1.659645732929101e-05,0.0002213637991097885,1000,0.07266958218126304,0.0015975966901008443,0.051566649707189646,0.07667369674601422,0.17278968918261584
30,1020,1050,1035.0,M_local_fullfit,402,27,2016.6424994459203,265.05169742996327,0.5475408305554765,ok,-0.005711073854407645,-7.234703764281648e-05,-0.02386396943079899,-0.005802130402130172,0.015596422748500878,-0.0003785836379034695,-6.722132776501484e-05,0.00017459034325628155,1000,0.07267931254419642,0.006649723689078013,0.05155671444224236,0.07668527694415898,0.17285641734216772
30,1050,1080,1065.0,M0,369,27,2014.6776553817851,262.1826856321211,0.4789073206035255,ok,0.0089286497858898,-3.013219981166197e-05,-0.012080112836409824,0.007201673568366577,0.03100640729726625,-0.0003508614812184128,-1.265970635439102e-05,0.00024253897513620642,1000,0.07869939529952592,0.0009695373689295739,0.04885090033534199,0.06515130714357557,0.12297997271256748
30,1050,1080,1065.0,M_local_fullfit,369,27,2014.6776553817851,262.1826856321211,0.4772004471311675,ok,0.010791535096668489,-6.585580410515593e-05,-0.00991791894597356,0.009718159309181976,0.032898676894942705,-0.000378478742286817,-5.3174936789579404e-05,0.0002296365043702572,1000,0.07869174511025384,0.004615170112713507,0.04882435214677702,0.06513559699832355,0.12280724591804879
30,1080,1110,1095.0,M0,384,29,2013.2198221816798,257.85012430213624,0.42145175196947093,ok,-0.004371580431763848,-6.110889509155873e-05,-0.02397978083137357,-0.004351284404950446,0.015089682682167328,-0.0003380049488402291,-6.0042458025897665e-05,0.00019516636377854576,1000,0.06828969438638319,0.004877535972325986,0.04482716230960121,0.06102159259446342,0.1357385129994997
30,1080,1110,1095.0,M_local_fullfit,384,29,2013.2198221816798,257.85012430213624,0.41938940867783003,ok,-0.002855048943653401,-9.532918837384527e-05,-0.021428395596589753,-0.0037272516043381746,0.016599573173550843,-0.0003797992881677993,-9.799665570624005e-05,0.0001459507876411512,1000,0.06828949391391874,0.011787448135441525,0.044797633462890146,0.0610234065429445,0.13590063420199588
30,1110,1140,1125.0,M0,393,27,2010.8752606268163,245.88594556928592,0.6050345294927411,ok,0.021772634455751172,-3.801875696289441e-05,-0.008010338796043917,0.021176031931420487,0.05435213115846214,-0.00042968716027966963,-3.452508997173239e-05,0.0002579202610890431,1000,0.09923473827504119,0.0008141929525044,0.05747157806696969,0.08680765149355921,0.23101837807671224
