u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2125.916741,641.000000,5.415634,-84.636328,713.401964,5.426585,84.642158,-0.123033
2125.862482,642.000000,5.410247,-84.537561,713.388930,5.420656,84.543287,-0.111061
2125.804911,643.000000,5.404530,-84.438672,713.374837,5.414350,84.444286,-0.098048
2125.765047,644.000000,5.400576,-84.340456,713.366398,5.410058,84.346005,-0.090597
2125.748660,645.000000,5.398959,-84.243128,713.365455,5.408436,84.248672,-0.090523
2125.758985,646.000000,5.400002,-84.146808,713.373040,5.409853,84.152417,-0.098842
2125.802420,647.000000,5.404341,-84.051732,713.391197,5.415035,84.057493,-0.117563
2125.863271,648.000000,5.410414,-83.957305,713.414916,5.422199,83.963264,-0.141757
2125.927010,649.000000,5.416776,-83.862982,713.439557,5.429692,83.869145,-0.166859
2125.953820,650.000000,5.419460,-83.767266,713.452404,5.432984,83.773538,-0.180355
2125.898649,651.000000,5.413982,-83.668475,713.439066,5.426950,83.674641,-0.168084
2125.803649,652.000000,5.404538,-83.568198,713.413008,5.416386,83.574153,-0.143296
2125.719907,653.000000,5.396215,-83.468348,713.390546,5.407102,83.474123,-0.122046
2125.659256,654.000000,5.390192,-83.369367,713.375458,5.400446,83.375022,-0.108053
2125.615188,655.000000,5.385820,-83.271009,713.365664,5.395676,83.276588,-0.099269
2125.590089,656.000000,5.383336,-83.173361,713.361926,5.393063,83.178912,-0.096445
2125.581658,657.000000,5.382512,-83.076333,713.363510,5.392346,83.081900,-0.098856
2125.578469,658.000000,5.382209,-82.979501,713.366765,5.392225,82.985098,-0.102914
2125.566427,659.000000,5.381025,-82.882338,713.367193,5.391097,82.887942,-0.104189
2125.534817,660.000000,5.377894,-82.784451,713.361372,5.387743,82.790010,-0.099314
2125.564764,661.000000,5.380889,-82.688845,713.375205,5.391391,82.694521,-0.113780
2125.521270,662.000000,5.376575,-82.590519,713.365586,5.386686,82.596119,-0.105169
2125.515299,663.000000,5.375995,-82.493582,713.367948,5.386248,82.499204,-0.108347
2125.532823,664.000000,5.377754,-82.397511,713.377810,5.388482,82.403218,-0.118906
2125.541852,665.000000,5.378668,-82.301125,713.384959,5.389751,82.306893,-0.126794
2125.539675,666.000000,5.378466,-82.204324,713.388529,5.389744,82.210125,-0.131161
2125.545072,667.000000,5.379018,-82.107801,713.394516,5.390599,82.113655,-0.137906
2125.500349,668.000000,5.374581,-82.009436,713.384498,5.385754,82.015211,-0.128901
2125.500504,669.000000,5.374612,-81.912720,713.388809,5.386013,81.918534,-0.133997
2125.551782,670.000000,5.379731,-81.817877,713.409443,5.392086,81.823862,-0.155157
2125.502313,671.000000,5.374822,-81.719341,713.397906,5.386701,81.725235,-0.144657
2125.495837,672.000000,5.374192,-81.622379,713.400096,5.386205,81.628295,-0.147665
2125.532086,673.000000,5.377815,-81.526978,713.415928,5.390569,81.533026,-0.164099
2125.475920,674.000000,5.372239,-81.428202,713.402248,5.384422,81.434141,-0.151491
2125.526279,675.000000,5.377267,-81.333310,713.422584,5.390390,81.339419,-0.172356
2125.450185,676.000000,5.369707,-81.233812,713.402539,5.381977,81.239760,-0.153483
2125.382503,677.000000,5.362985,-81.134626,713.385179,5.374521,81.140435,-0.137253
2125.345708,678.000000,5.359338,-81.036565,713.377681,5.370577,81.042317,-0.130728
2125.311144,679.000000,5.355912,-80.938588,713.370894,5.366887,80.944287,-0.124903
2125.266042,680.000000,5.351438,-80.840231,713.360742,5.361999,80.845851,-0.115766
2125.243487,681.000000,5.349208,-80.742693,713.357788,5.359675,80.748291,-0.113712
2125.256317,682.000000,5.350500,-80.646433,713.366130,5.361374,80.652103,-0.122775
2125.280161,683.000000,5.352888,-80.550568,713.377988,5.364326,80.556339,-0.135298
2125.282225,684.000000,5.353109,-80.453916,713.382891,5.364801,80.459730,-0.140976
2125.256928,685.000000,5.350606,-80.356278,713.379056,5.362165,80.362064,-0.138055
2125.230695,686.000000,5.348010,-80.258608,713.374921,5.359422,80.264363,-0.134840
2125.233394,687.000000,5.348294,-80.161977,713.380023,5.359969,80.167777,-0.140714
2125.249094,688.000000,5.349871,-80.065812,713.389275,5.361995,80.071691,-0.150672
2125.243054,689.000000,5.349285,-79.968865,713.391585,5.361548,79.974766,-0.153798
2125.216792,690.000000,5.346686,-79.871195,713.387436,5.358802,79.877066,-0.150568
2125.194992,691.000000,5.344531,-79.773686,713.384711,5.356563,79.779537,-0.148740
2125.181613,692.000000,5.343215,-79.676478,713.384673,5.355282,79.682332,-0.149556
2125.153452,693.000000,5.340427,-79.578743,713.379915,5.352320,79.584562,-0.145726
2125.108363,694.000000,5.335955,-79.480408,713.369751,5.347433,79.486146,-0.136577
2125.057546,695.000000,5.330912,-79.381872,713.357757,5.341895,79.387515,-0.125627
2125.015763,696.000000,5.326769,-79.283660,713.348647,5.337384,79.289232,-0.117515
2124.992418,697.000000,5.324461,-79.186104,713.345422,5.334969,79.191654,-0.115194
2124.979500,698.000000,5.323191,-79.088919,713.345525,5.333740,79.094473,-0.116148
2124.954882,699.000000,5.320756,-78.991320,713.341891,5.331181,78.996847,-0.113425
2124.908639,700.000000,5.316169,-78.892959,713.331353,5.326163,78.898403,-0.103908
2124.866903,701.000000,5.312031,-78.794759,713.322252,5.321658,78.800132,-0.095805
2124.845814,702.000000,5.309948,-78.697290,713.319742,5.319500,78.702645,-0.094188
2124.837012,703.000000,5.309087,-78.600254,713.321153,5.318739,78.605624,-0.096429
2124.848213,704.000000,5.310216,-78.503921,713.328948,5.320251,78.509358,-0.104953
2124.871901,705.000000,5.312588,-78.408024,713.340729,5.323183,78.413561,-0.117400
2124.873894,706.000000,5.312802,-78.311364,713.345583,5.323649,78.316944,-0.123030
2124.845682,707.000000,5.310010,-78.213644,713.340793,5.320681,78.219188,-0.119168
2124.800173,708.000000,5.305496,-78.115322,713.330480,5.315747,78.120785,-0.109872
2124.744928,709.000000,5.300014,-78.016662,713.317058,5.309706,78.022018,-0.097516
2124.680612,710.000000,5.293630,-77.917690,713.300740,5.302634,77.922916,-0.082310
2124.647969,711.000000,5.290398,-77.819825,713.294531,5.299162,77.825004,-0.077053
2124.673661,712.000000,5.292969,-77.723993,713.306943,5.302321,77.729276,-0.090120
2124.692848,713.000000,5.294893,-77.627931,713.317276,5.304741,77.633303,-0.101142
2124.669480,714.000000,5.292583,-77.530390,713.314025,5.302324,77.535738,-0.098795
2124.608583,715.000000,5.286539,-77.431549,713.298792,5.295640,77.436775,-0.084657
2124.549179,716.000000,5.280644,-77.332763,713.284037,5.289127,77.337872,-0.070988
2124.535326,717.000000,5.279281,-77.235557,713.283819,5.287791,77.240668,-0.071626
2124.561127,718.000000,5.281863,-77.139721,713.296257,5.290962,77.144937,-0.084720
2124.590205,719.000000,5.284771,-77.043995,713.309741,5.294506,77.049324,-0.098842
2124.622509,720.000000,5.288000,-76.948376,713.324253,5.298417,76.953827,-0.113977
2124.670623,721.000000,5.292802,-76.853298,713.343812,5.304124,76.858912,-0.134078
2124.721381,722.000000,5.297867,-76.758305,713.364215,5.310133,76.764089,-0.155009
2124.749287,723.000000,5.300659,-76.662523,713.377322,5.313544,76.668418,-0.168761
2124.735308,724.000000,5.299283,-76.565301,713.377056,5.312193,76.571197,-0.169351
2124.688292,725.000000,5.294620,-76.466949,713.366241,5.307087,76.472760,-0.159561
2124.641563,726.000000,5.289986,-76.368609,713.355517,5.302013,76.374336,-0.149859
2124.611231,727.000000,5.286983,-76.270833,713.350027,5.298803,76.276518,-0.145309
2124.589612,728.000000,5.284847,-76.173356,713.347317,5.296584,76.179021,-0.143494
2124.571244,729.000000,5.283035,-76.075990,713.345644,5.294734,76.081645,-0.142700
2124.560552,730.000000,5.281986,-75.978886,713.346420,5.293757,75.984550,-0.144316
2124.563702,731.000000,5.282315,-75.882252,713.351613,5.294353,75.887962,-0.150280
2124.567390,732.000000,5.282697,-75.785635,713.356978,5.295010,75.791393,-0.156411
2124.544833,733.000000,5.280468,-75.688127,713.353962,5.292684,75.693864,-0.154296
2124.506637,734.000000,5.276683,-75.590092,713.345954,5.288580,75.595766,-0.147267
2124.474524,735.000000,5.273503,-75.492264,713.339886,5.285168,75.497891,-0.142148
2124.518173,736.000000,5.277861,-75.396995,713.358002,5.290367,75.402774,-0.160829
