weighting,profile_type,t,weak_singular_value,weak_to_strong_ratio,invalid_count,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,rmse_mm,p95_abs_mm,residual_energy,explained_fraction_vs_theta0
frame_equal,weak_singular_direction,-6.4,2.35251196208e-05,1.62530478878e-06,0,2.57854803234,-0.00592262368484,-390.106075705,99.1399186209,468.704574323,1.56111554222,89.4453319016,0.0525676482616,0.101947109324,48.535613655,0.923799685471
frame_equal,weak_singular_direction,-6.2,2.35251196208e-05,1.62530478878e-06,0,2.57856808693,-0.00589630440251,-388.513016566,98.4678505132,469.682556376,1.56115597917,89.4476487683,0.0506859802099,0.0994726615249,45.123120712,0.929157257283
frame_equal,weak_singular_direction,-6,2.35251196208e-05,1.62530478878e-06,0,2.57858814151,-0.00586998512017,-386.919957428,97.7957824054,470.660538428,1.56119641613,89.449965635,0.048915184908,0.097076965752,42.0253005053,0.934020796782
frame_equal,weak_singular_direction,-5.8,2.35251196208e-05,1.62530478878e-06,0,2.57860819609,-0.00584366583783,-385.32689829,97.1237142977,471.63852048,1.56123685308,89.4522825018,0.047255697208,0.094755106075,39.2221845345,0.938421654266
frame_equal,weak_singular_direction,-5.6,2.35251196208e-05,1.62530478878e-06,0,2.57862825067,-0.00581734655549,-383.733839152,96.4516461899,472.616502533,1.56127729003,89.4545993685,0.045707611734,0.0925079616381,36.6944588718,0.942390152366
frame_equal,weak_singular_direction,-5.4,2.35251196208e-05,1.62530478878e-06,0,2.57864830526,-0.00579102727315,-382.140780014,95.7795780822,473.594484585,1.56131772699,89.4569162352,0.0442706167397,0.0903394310452,34.4234641643,0.945955586033
frame_equal,weak_singular_direction,-5.2,2.35251196208e-05,1.62530478878e-06,0,2.57866835984,-0.00576470799081,-380.547720875,95.1075099744,474.572466638,1.56135816394,89.459233102,0.0429439289627,0.0882495153373,32.3911956945,0.949146222454
frame_equal,weak_singular_direction,-5,2.35251196208e-05,1.62530478878e-06,0,2.57868841442,-0.00573838870847,-378.954661737,94.4354418667,475.55044869,1.56139860089,89.4615499687,0.0417262331772,0.0862382155418,30.5803033914,0.951989301024
frame_equal,weak_singular_direction,-4.8,2.35251196208e-05,1.62530478878e-06,0,2.57870846901,-0.00571206942613,-377.361602599,93.763373759,476.528430742,1.56143903784,89.4638668354,0.0406156307879,0.0843055326938,28.9740919109,0.954511033228
frame_equal,weak_singular_direction,-4.6,2.35251196208e-05,1.62530478878e-06,0,2.57872852359,-0.00568575014379,-375.768543461,93.0913056512,477.506412795,1.5614794748,89.4661837021,0.0396096017771,0.0824514677534,27.5565205919,0.956736602707
